[2026-05-11 11:02:48] #0001/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 11:45:07] #0089/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.230 | conf=0.950 | gap=0.910
[2026-05-11 11:45:35] #0090/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 11:46:41] #0093/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.224 | conf=0.950 | gap=0.910
[2026-05-11 11:47:10] #0094/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:47:33] #0095/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:47:48] #0096/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.471 | conf=0.880 | gap=0.800
[2026-05-11 11:48:40] #0098/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.230 | conf=0.950 | gap=0.910
[2026-05-11 11:49:16] #0100/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.168 | conf=0.970 | gap=0.960
[2026-05-11 11:49:48] #0101/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:50:19] #0102/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.825 | conf=0.650 | gap=0.350
[2026-05-11 11:50:33] #0103/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.261 | conf=0.940 | gap=0.890
[2026-05-11 11:51:35] #0106/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:52:05] #0107/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.309 | conf=0.930 | gap=0.880
[2026-05-11 11:52:28] #0108/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 11:54:32] #0113/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.894 | conf=0.700 | gap=0.550
[2026-05-11 11:55:07] #0114/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.230 | conf=0.950 | gap=0.910
[2026-05-11 11:55:54] #0115/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:57:23] #0117/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.435 | conf=0.880 | gap=0.780
[2026-05-11 11:57:35] #0118/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:58:29] #0120/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.230 | conf=0.950 | gap=0.910
[2026-05-11 12:00:08] #0125/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.211 | conf=0.960 | gap=0.939
[2026-05-11 12:00:38] #0126/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.421 | conf=0.880 | gap=0.780
[2026-05-11 12:01:04] #0127/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.279 | conf=0.940 | gap=0.900
[2026-05-11 12:01:35] #0128/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.435 | conf=0.880 | gap=0.780
[2026-05-11 12:01:50] #0129/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.466 | conf=0.880 | gap=0.800
[2026-05-11 12:02:38] #0131/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.230 | conf=0.950 | gap=0.910
[2026-05-11 12:03:15] #0132/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:03:47] #0133/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 12:04:00] #0134/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.651 | conf=0.820 | gap=0.720
[2026-05-11 12:04:52] #0136/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.825 | conf=0.650 | gap=0.350
[2026-05-11 12:05:44] #0137/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.825 | conf=0.650 | gap=0.350
[2026-05-11 12:05:57] #0138/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:07:10] #0141/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.316 | conf=0.920 | gap=0.850
[2026-05-11 12:07:52] #0142/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.740 | conf=0.750 | gap=0.550
[2026-05-11 12:08:17] #0143/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.365 | conf=0.920 | gap=0.870
[2026-05-11 12:09:09] #0145/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.351 | conf=0.920 | gap=0.870
[2026-05-11 12:09:32] #0146/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.721 | conf=0.750 | gap=0.550
[2026-05-11 12:10:50] #0149/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:11:41] #0151/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:12:27] #0153/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 12:13:16] #0155/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 12:14:11] #0157/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.316 | conf=0.920 | gap=0.850
[2026-05-11 12:14:37] #0158/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:17:16] #0164/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.435 | conf=0.880 | gap=0.780
[2026-05-11 12:18:26] #0166/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 12:18:38] #0167/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:19:00] #0168/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.224 | conf=0.950 | gap=0.910
[2026-05-11 12:19:26] #0169/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:19:38] #0170/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.351 | conf=0.920 | gap=0.870
[2026-05-11 12:20:15] #0172/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.362 | conf=0.920 | gap=0.880
[2026-05-11 12:22:17] #0174/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.225 | conf=0.949 | gap=0.909
[2026-05-11 12:23:49] #0177/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 12:24:43] #0179/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 12:24:59] #0180/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.543 | conf=0.850 | gap=0.750
[2026-05-11 12:26:11] #0183/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.537 | conf=0.850 | gap=0.740
[2026-05-11 12:26:22] #0184/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.648 | conf=0.820 | gap=0.720
[2026-05-11 12:26:49] #0185/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.230 | conf=0.950 | gap=0.910
[2026-05-11 12:27:46] #0186/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.224 | conf=0.950 | gap=0.910
[2026-05-11 12:28:25] #0187/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 12:28:37] #0188/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.843 | conf=0.720 | gap=0.540
[2026-05-11 12:29:50] #0191/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.224 | conf=0.950 | gap=0.910
[2026-05-11 12:30:02] #0192/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.224 | conf=0.950 | gap=0.910
[2026-05-11 12:30:53] #0194/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 12:31:38] #0195/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:31:48] #0196/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.351 | conf=0.920 | gap=0.870
[2026-05-11 12:31:58] #0197/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 12:33:16] #0200/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 12:33:31] #0201/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 12:33:45] #0202/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.996 | conf=0.550 | gap=0.200
[2026-05-11 12:34:13] #0203/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.284 | conf=0.929 | gap=0.869
[2026-05-11 12:37:15] #0210/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 12:37:44] #0211/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:38:45] #0213/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 12:39:09] #0214/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 12:39:45] #0216/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 12:40:48] #0219/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:42:02] #0222/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.594 | conf=0.820 | gap=0.680
[2026-05-11 12:42:29] #0223/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 12:43:13] #0225/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 12:44:01] #0227/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 12:44:29] #0228/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.279 | conf=0.940 | gap=0.900
[2026-05-11 12:46:15] #0232/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 12:46:40] #0233/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.230 | conf=0.950 | gap=0.910
[2026-05-11 12:47:06] #0234/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.309 | conf=0.930 | gap=0.880
[2026-05-11 12:47:13] #0235/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:47:25] #0236/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.876 | conf=0.750 | gap=0.650
[2026-05-11 12:48:16] #0238/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:49:10] #0240/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.389 | conf=0.900 | gap=0.820
[2026-05-11 12:49:34] #0241/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.389 | conf=0.900 | gap=0.820
[2026-05-11 12:50:24] #0243/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.574 | conf=0.850 | gap=0.770
[2026-05-11 12:50:52] #0244/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.224 | conf=0.950 | gap=0.910
[2026-05-11 12:51:15] #0245/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 12:51:40] #0246/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.056 | conf=0.990 | gap=0.980
[2026-05-11 12:52:07] #0247/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.673 | conf=0.750 | gap=0.530
[2026-05-11 12:53:01] #0249/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:53:46] #0251/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-11 12:53:59] #0252/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:54:45] #0254/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.336 | conf=0.909 | gap=0.828
[2026-05-11 12:56:25] #0257/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 12:57:00] #0258/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 12:58:17] #0261/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 12:58:49] #0263/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 12:59:27] #0264/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.365 | conf=0.920 | gap=0.870
[2026-05-11 12:59:51] #0265/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.435 | conf=0.880 | gap=0.780
[2026-05-11 13:00:29] #0267/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.781 | conf=0.750 | gap=0.600
[2026-05-11 13:00:40] #0268/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 13:01:15] #0270/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 13:01:46] #0271/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.780 | conf=0.700 | gap=0.450
[2026-05-11 13:02:08] #0272/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 13:02:19] #0273/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 13:02:43] #0274/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.056 | conf=0.990 | gap=0.980
[2026-05-11 13:02:57] #0275/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.405 | conf=0.900 | gap=0.830
[2026-05-11 13:03:19] #0276/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.466 | conf=0.850 | gap=0.710
[2026-05-11 13:03:43] #0277/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 13:05:17] #0281/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 13:06:14] #0282/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.230 | conf=0.950 | gap=0.910
[2026-05-11 13:06:28] #0283/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 13:07:50] #0286/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.389 | conf=0.900 | gap=0.820
[2026-05-11 13:08:19] #0287/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 13:08:40] #0288/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:09:07] #0289/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 13:09:45] #0291/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.351 | conf=0.920 | gap=0.870
[2026-05-11 13:10:30] #0293/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.543 | conf=0.850 | gap=0.750
[2026-05-11 13:11:22] #0295/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:12:07] #0297/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.309 | conf=0.920 | gap=0.850
[2026-05-11 13:12:31] #0298/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:13:24] #0300/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 13:14:01] #0301/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 13:14:29] #0302/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.230 | conf=0.950 | gap=0.910
[2026-05-11 13:15:16] #0304/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.898 | conf=0.684 | gap=0.474
[2026-05-11 13:15:40] #0305/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.230 | conf=0.950 | gap=0.910
[2026-05-11 13:16:12] #0306/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:17:08] #0308/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 13:17:19] #0309/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 13:17:26] #0310/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:17:39] #0311/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.224 | conf=0.950 | gap=0.910
[2026-05-11 13:18:05] #0312/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.230 | conf=0.950 | gap=0.910
[2026-05-11 13:18:33] #0313/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 13:18:54] #0314/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.224 | conf=0.950 | gap=0.910
[2026-05-11 13:20:35] #0317/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.721 | conf=0.750 | gap=0.550
[2026-05-11 13:21:01] #0318/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 13:21:33] #0319/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:22:06] #0321/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:22:45] #0323/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:23:16] #0325/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.543 | conf=0.850 | gap=0.750
[2026-05-11 13:23:27] #0326/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.582 | conf=0.850 | gap=0.780
[2026-05-11 13:23:51] #0327/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 13:24:14] #0328/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.435 | conf=0.880 | gap=0.780
[2026-05-11 13:24:39] #0329/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 13:25:03] #0330/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.572 | conf=0.820 | gap=0.670
