[2026-05-11 11:05:43] #0004/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:39:28] #0076/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:40:46] #0079/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:41:01] #0080/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 11:42:03] #0082/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:43:20] #0085/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.836 | conf=0.550 | gap=0.470
[2026-05-11 11:43:49] #0086/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 11:46:29] #0090/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.070 | conf=0.639 | gap=0.412
[2026-05-11 11:48:46] #0095/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:49:00] #0096/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:49:35] #0097/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.635 | conf=0.850 | gap=0.770
[2026-05-11 11:49:48] #0098/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 11:49:59] #0099/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:50:27] #0100/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:51:12] #0102/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.758 | conf=0.800 | gap=0.720
[2026-05-11 11:51:41] #0103/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:51:55] #0104/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.426 | conf=0.889 | gap=0.833
[2026-05-11 11:52:36] #0106/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:53:43] #0108/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:53:59] #0109/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 11:54:53] #0111/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:55:41] #0113/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.297 | conf=0.600 | gap=0.500
[2026-05-11 11:58:37] #0117/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 11:59:44] #0119/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:59:56] #0120/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.781 | conf=0.820 | gap=0.770
[2026-05-11 12:00:09] #0121/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.975 | conf=0.700 | gap=0.550
[2026-05-11 12:00:24] #0122/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:01:26] #0124/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:02:19] #0126/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:02:51] #0127/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:03:02] #0128/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:04:43] #0131/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:04:58] #0132/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:05:29] #0133/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.351 | conf=0.920 | gap=0.870
[2026-05-11 12:05:44] #0134/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:06:07] #0135/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:06:20] #0136/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.792 | conf=0.800 | gap=0.720
[2026-05-11 12:06:54] #0137/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-11 12:07:06] #0138/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.945 | conf=0.750 | gap=0.670
[2026-05-11 12:08:51] #0142/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:10:47] #0146/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:12:34] #0150/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.396 | conf=0.918 | gap=0.898
[2026-05-11 12:12:49] #0151/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:15:27] #0157/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:16:03] #0158/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:16:17] #0159/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.602 | conf=0.600 | gap=0.500
[2026-05-11 12:16:56] #0160/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.721 | conf=0.720 | gap=0.470
[2026-05-11 12:17:38] #0162/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.530 | conf=0.880 | gap=0.840
[2026-05-11 12:17:52] #0163/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.369 | conf=0.700 | gap=0.650
[2026-05-11 12:18:33] #0165/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 12:19:04] #0166/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.246 | conf=0.950 | gap=0.915
[2026-05-11 12:20:00] #0168/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 12:20:41] #0170/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:20:54] #0171/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 12:21:34] #0173/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:21:48] #0174/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:22:05] #0175/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.426 | conf=0.889 | gap=0.833
[2026-05-11 12:22:48] #0177/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 12:23:32] #0179/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:23:45] #0180/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:25:03] #0183/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:25:41] #0185/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:26:20] #0187/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:28:50] #0193/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:29:02] #0194/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:29:15] #0195/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.102 | conf=0.979 | gap=0.958
[2026-05-11 12:29:39] #0196/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 12:29:51] #0197/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.460 | conf=0.650 | gap=0.570
[2026-05-11 12:30:22] #0198/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.336 | conf=0.895 | gap=0.789
[2026-05-11 12:30:37] #0199/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:30:49] #0200/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:32:21] #0203/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 12:33:01] #0205/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:33:14] #0206/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.770 | conf=0.550 | gap=0.450
[2026-05-11 12:34:20] #0209/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:34:29] #0210/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:35:51] #0213/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.497 | conf=0.867 | gap=0.765
[2026-05-11 12:36:22] #0214/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.571 | conf=0.850 | gap=0.750
[2026-05-11 12:37:28] #0216/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:37:39] #0217/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.056 | conf=0.990 | gap=0.980
[2026-05-11 12:39:42] #0221/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.124 | conf=0.694 | gap=0.541
[2026-05-11 12:39:56] #0222/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:41:45] #0226/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:42:15] #0227/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:42:43] #0228/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.689 | conf=0.789 | gap=0.632
[2026-05-11 12:42:56] #0229/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:43:32] #0231/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.390 | conf=0.920 | gap=0.900
[2026-05-11 12:43:44] #0232/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:44:37] #0234/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 12:45:02] #0235/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:45:17] #0236/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:46:02] #0238/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:47:01] #0240/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.490 | conf=0.880 | gap=0.830
[2026-05-11 12:48:24] #0243/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:48:36] #0244/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:49:31] #0246/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.051 | conf=0.650 | gap=0.450
[2026-05-11 12:49:42] #0247/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:50:41] #0250/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-11 12:50:54] #0251/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.577 | conf=0.880 | gap=0.850
[2026-05-11 12:52:41] #0255/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:52:52] #0256/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.758 | conf=0.800 | gap=0.720
[2026-05-11 12:53:45] #0258/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 12:53:55] #0259/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:54:38] #0261/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.458 | conf=0.900 | gap=0.860
[2026-05-11 12:54:51] #0262/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.674 | conf=0.830 | gap=0.760
[2026-05-11 12:55:21] #0263/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.426 | conf=0.889 | gap=0.833
[2026-05-11 12:55:35] #0264/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:56:12] #0266/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.836 | conf=0.780 | gap=0.680
[2026-05-11 12:56:39] #0267/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:57:33] #0269/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:57:56] #0270/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:58:29] #0271/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-11 12:58:59] #0272/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 13:00:02] #0274/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.948 | conf=0.720 | gap=0.600
[2026-05-11 13:00:19] #0275/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 13:00:30] #0276/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.847 | conf=0.539 | gap=0.461
[2026-05-11 13:00:47] #0277/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 13:01:46] #0279/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.557 | conf=0.833 | gap=0.722
[2026-05-11 13:01:59] #0280/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 13:02:12] #0281/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:02:26] #0282/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:03:10] #0284/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.343 | conf=0.926 | gap=0.895
[2026-05-11 13:04:03] #0286/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:04:17] #0287/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.070 | conf=0.550 | gap=0.250
[2026-05-11 13:04:31] #0288/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 13:04:57] #0289/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.515 | conf=0.789 | gap=0.579
[2026-05-11 13:05:40] #0291/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:05:52] #0292/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 13:06:32] #0294/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 13:07:26] #0296/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 13:07:38] #0297/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:08:04] #0298/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.562 | conf=0.750 | gap=0.500
[2026-05-11 13:08:55] #0300/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:09:06] #0301/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:09:18] #0302/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:09:30] #0303/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.524 | conf=0.880 | gap=0.830
[2026-05-11 13:09:42] #0304/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:10:11] #0305/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:10:51] #0307/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:11:07] #0308/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.456 | conf=0.891 | gap=0.837
[2026-05-11 13:12:07] #0311/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:12:18] #0312/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:12:29] #0313/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 13:12:40] #0314/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:13:10] #0315/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 13:15:08] #0320/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:15:21] #0321/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:15:33] #0322/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:15:44] #0323/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.524 | conf=0.880 | gap=0.830
[2026-05-11 13:17:20] #0327/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 13:17:54] #0328/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
