[2026-05-11 11:03:49] #0001/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 11:15:30] #0026/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.490 | conf=0.880 | gap=0.830
[2026-05-11 11:16:01] #0027/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:16:37] #0028/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.751 | conf=0.820 | gap=0.770
[2026-05-11 11:17:10] #0029/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 11:17:49] #0030/05607 | true=Lay-stand(6) | pred=Push-up(9) | ✗ | ent=1.407 | conf=0.550 | gap=0.400
[2026-05-11 11:18:27] #0031/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 11:19:23] #0032/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.648 | conf=0.820 | gap=0.720
[2026-05-11 11:19:47] #0033/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.429 | conf=0.650 | gap=0.570
[2026-05-11 11:20:21] #0034/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 11:20:38] #0035/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.734 | conf=0.789 | gap=0.684
[2026-05-11 11:21:09] #0036/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.668 | conf=0.611 | gap=0.222
[2026-05-11 11:21:40] #0037/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:22:06] #0038/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.275 | conf=0.720 | gap=0.680
[2026-05-11 11:22:20] #0039/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 11:22:52] #0040/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 11:23:04] #0041/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:23:16] #0042/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:24:09] #0043/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=1.186 | conf=0.650 | gap=0.530
[2026-05-11 11:24:36] #0044/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.717 | conf=0.820 | gap=0.770
[2026-05-11 11:25:07] #0045/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:25:39] #0046/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:26:18] #0047/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.203 | conf=0.948 | gap=0.897
[2026-05-11 11:26:48] #0048/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.739 | conf=0.800 | gap=0.720
[2026-05-11 11:27:18] #0049/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:27:49] #0050/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.453 | conf=0.900 | gap=0.860
[2026-05-11 11:28:21] #0051/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 11:28:50] #0052/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.706 | conf=0.780 | gap=0.630
[2026-05-11 11:29:04] #0053/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 11:29:38] #0054/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:30:18] #0055/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.602 | conf=0.850 | gap=0.770
[2026-05-11 11:31:04] #0056/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.819 | conf=0.700 | gap=0.550
[2026-05-11 11:31:27] #0057/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:31:53] #0058/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.329 | conf=0.650 | gap=0.600
[2026-05-11 11:32:24] #0059/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.278 | conf=0.550 | gap=0.400
[2026-05-11 11:32:39] #0060/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.564 | conf=0.845 | gap=0.742
[2026-05-11 11:32:52] #0061/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 11:33:23] #0062/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 11:33:53] #0063/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.480 | conf=0.895 | gap=0.863
[2026-05-11 11:34:27] #0064/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.330 | conf=0.700 | gap=0.650
[2026-05-11 11:34:42] #0065/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:35:07] #0066/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:35:35] #0067/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:35:47] #0068/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:36:23] #0069/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 11:37:00] #0070/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.021 | conf=0.720 | gap=0.620
[2026-05-11 11:37:13] #0071/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.634 | conf=0.833 | gap=0.778
[2026-05-11 11:37:48] #0072/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.634 | conf=0.833 | gap=0.778
[2026-05-11 11:38:15] #0073/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:38:44] #0074/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:38:59] #0075/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:39:28] #0076/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:39:58] #0077/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 11:40:34] #0078/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:40:46] #0079/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:41:01] #0080/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 11:41:31] #0081/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:42:03] #0082/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:42:37] #0083/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 11:43:06] #0084/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:43:49] #0086/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 11:44:17] #0087/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:46:17] #0089/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 11:46:29] #0090/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.070 | conf=0.639 | gap=0.412
[2026-05-11 11:47:28] #0092/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.818 | conf=0.820 | gap=0.770
[2026-05-11 11:47:55] #0093/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:48:33] #0094/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.807 | conf=0.789 | gap=0.737
[2026-05-11 11:48:46] #0095/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:49:00] #0096/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:49:35] #0097/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.635 | conf=0.850 | gap=0.770
[2026-05-11 11:49:48] #0098/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 11:49:59] #0099/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:50:27] #0100/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:50:59] #0101/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:51:12] #0102/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.758 | conf=0.800 | gap=0.720
[2026-05-11 11:51:41] #0103/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:51:55] #0104/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.426 | conf=0.889 | gap=0.833
[2026-05-11 11:52:19] #0105/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.834 | conf=0.750 | gap=0.600
[2026-05-11 11:52:36] #0106/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:53:12] #0107/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=1.385 | conf=0.610 | gap=0.488
[2026-05-11 11:53:43] #0108/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:53:59] #0109/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 11:54:30] #0110/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:54:53] #0111/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:55:23] #0112/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.457 | conf=0.619 | gap=0.571
[2026-05-11 11:55:41] #0113/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.297 | conf=0.600 | gap=0.500
[2026-05-11 11:56:53] #0114/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:58:07] #0116/05607 | true=Lay-stand(6) | pred=Push-up(9) | ✗ | ent=1.373 | conf=0.550 | gap=0.400
[2026-05-11 11:58:37] #0117/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 11:59:29] #0118/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.590 | conf=0.850 | gap=0.760
[2026-05-11 11:59:44] #0119/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:59:56] #0120/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.781 | conf=0.820 | gap=0.770
[2026-05-11 12:00:09] #0121/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.975 | conf=0.700 | gap=0.550
[2026-05-11 12:00:24] #0122/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:00:55] #0123/05607 | true=Lay-stand(6) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:01:26] #0124/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:01:52] #0125/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:02:19] #0126/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:02:51] #0127/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:03:02] #0128/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:03:34] #0129/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:04:27] #0130/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 12:04:43] #0131/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:04:58] #0132/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:05:29] #0133/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.351 | conf=0.920 | gap=0.870
[2026-05-11 12:05:44] #0134/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:06:07] #0135/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:06:20] #0136/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.792 | conf=0.800 | gap=0.720
[2026-05-11 12:06:54] #0137/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-11 12:07:06] #0138/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.945 | conf=0.750 | gap=0.670
[2026-05-11 12:07:39] #0139/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:08:12] #0140/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:08:40] #0141/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 12:08:51] #0142/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:09:17] #0143/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:09:39] #0144/05607 | true=Lay-stand(6) | pred=Stair-up(15) | ✗ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 12:10:47] #0146/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:11:21] #0147/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.834 | conf=0.750 | gap=0.600
[2026-05-11 12:11:46] #0148/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:12:21] #0149/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 12:12:34] #0150/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.396 | conf=0.918 | gap=0.898
[2026-05-11 12:12:49] #0151/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:13:23] #0152/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:13:53] #0153/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:14:21] #0154/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:14:48] #0155/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.066 | conf=0.750 | gap=0.700
[2026-05-11 12:15:15] #0156/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:15:27] #0157/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:16:03] #0158/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:16:56] #0160/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.721 | conf=0.720 | gap=0.470
[2026-05-11 12:17:38] #0162/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.530 | conf=0.880 | gap=0.840
[2026-05-11 12:17:52] #0163/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.369 | conf=0.700 | gap=0.650
[2026-05-11 12:18:33] #0165/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 12:19:04] #0166/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.246 | conf=0.950 | gap=0.915
[2026-05-11 12:19:32] #0167/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:20:00] #0168/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 12:20:27] #0169/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:20:41] #0170/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:20:54] #0171/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 12:21:24] #0172/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:21:34] #0173/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:21:48] #0174/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:22:05] #0175/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.426 | conf=0.889 | gap=0.833
[2026-05-11 12:22:33] #0176/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:22:48] #0177/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 12:23:20] #0178/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.149 | conf=0.720 | gap=0.670
[2026-05-11 12:23:32] #0179/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:23:45] #0180/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:24:21] #0181/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=1.071 | conf=0.700 | gap=0.600
[2026-05-11 12:25:03] #0183/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:25:28] #0184/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:25:41] #0185/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:26:11] #0186/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.425 | conf=0.611 | gap=0.556
[2026-05-11 12:26:20] #0187/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:26:48] #0188/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:27:44] #0190/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.667 | conf=0.820 | gap=0.720
[2026-05-11 12:28:08] #0191/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:28:50] #0193/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:29:02] #0194/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:29:15] #0195/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.102 | conf=0.979 | gap=0.958
[2026-05-11 12:29:39] #0196/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 12:29:51] #0197/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.460 | conf=0.650 | gap=0.570
[2026-05-11 12:30:22] #0198/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.336 | conf=0.895 | gap=0.789
[2026-05-11 12:30:37] #0199/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
