[2026-05-11 11:05:41] #0002/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:27:01] #0043/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.498 | conf=0.500 | gap=0.300
[2026-05-11 11:27:15] #0044/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 11:27:33] #0045/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.612 | conf=0.350 | gap=0.050
[2026-05-11 11:28:17] #0046/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 11:30:20] #0049/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 11:31:08] #0051/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.271 | conf=0.600 | gap=0.450
[2026-05-11 11:31:36] #0052/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.259 | conf=0.928 | gap=0.856
[2026-05-11 11:32:41] #0054/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 11:32:59] #0055/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 11:33:17] #0056/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.297 | conf=0.600 | gap=0.500
[2026-05-11 11:34:03] #0057/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:34:38] #0058/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:34:53] #0059/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 11:36:22] #0061/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-11 11:37:11] #0062/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:37:39] #0063/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.768 | conf=0.750 | gap=0.550
[2026-05-11 11:38:13] #0064/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:38:35] #0065/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.994 | conf=0.700 | gap=0.550
[2026-05-11 11:39:39] #0067/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 11:40:14] #0068/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.781 | conf=0.820 | gap=0.770
[2026-05-11 11:41:09] #0070/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.541 | conf=0.500 | gap=0.350
[2026-05-11 11:41:43] #0071/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:41:59] #0072/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.513 | conf=0.350 | gap=0.100
[2026-05-11 11:42:28] #0073/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:42:43] #0074/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.880 | conf=0.790 | gap=0.740
[2026-05-11 11:43:43] #0076/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 11:44:15] #0077/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:44:28] #0078/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:45:31] #0080/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:45:55] #0081/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:46:23] #0082/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.929 | conf=0.750 | gap=0.650
[2026-05-11 11:46:56] #0083/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:47:10] #0084/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 11:48:52] #0087/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 11:49:39] #0089/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.175 | conf=0.600 | gap=0.450
[2026-05-11 11:49:59] #0090/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.307 | conf=0.500 | gap=0.200
[2026-05-11 11:50:11] #0091/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:50:43] #0092/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:51:07] #0093/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:51:27] #0094/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 11:52:17] #0096/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 11:52:50] #0097/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 11:53:25] #0098/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 11:54:18] #0100/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:54:45] #0101/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 11:55:23] #0102/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.998 | conf=0.750 | gap=0.700
[2026-05-11 11:55:54] #0103/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.486 | conf=0.900 | gap=0.880
[2026-05-11 11:56:35] #0104/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:57:27] #0105/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.815 | conf=0.800 | gap=0.740
[2026-05-11 11:57:45] #0106/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 11:58:51] #0108/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.089 | conf=0.600 | gap=0.400
[2026-05-11 11:59:21] #0109/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.834 | conf=0.750 | gap=0.600
[2026-05-11 12:00:15] #0110/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.334 | conf=0.940 | gap=0.930
[2026-05-11 12:00:47] #0111/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.309 | conf=0.550 | gap=0.350
[2026-05-11 12:03:57] #0116/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-11 12:05:13] #0119/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:06:01] #0120/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 12:06:29] #0121/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:06:44] #0122/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.121 | conf=0.650 | gap=0.550
[2026-05-11 12:07:04] #0123/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 12:08:12] #0125/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:08:25] #0126/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 12:08:41] #0127/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.373 | conf=0.550 | gap=0.400
[2026-05-11 12:09:16] #0128/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 12:09:55] #0129/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:11:43] #0132/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:12:14] #0133/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:12:29] #0134/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.287 | conf=0.950 | gap=0.942
[2026-05-11 12:12:47] #0135/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:14:27] #0139/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.113 | conf=0.700 | gap=0.600
[2026-05-11 12:14:39] #0140/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:15:13] #0142/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.776 | conf=0.820 | gap=0.770
[2026-05-11 12:15:42] #0143/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:16:10] #0144/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:16:20] #0145/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:18:01] #0148/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:19:54] #0152/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 12:20:17] #0153/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.865 | conf=0.250 | gap=0.100
[2026-05-11 12:20:33] #0154/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 12:21:00] #0155/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:21:48] #0157/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 12:22:10] #0158/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.777 | conf=0.350 | gap=0.200
[2026-05-11 12:23:09] #0160/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.993 | conf=0.650 | gap=0.400
[2026-05-11 12:23:57] #0162/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:24:48] #0164/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.679 | conf=0.850 | gap=0.800
[2026-05-11 12:24:59] #0165/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:25:32] #0166/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.750 | conf=0.830 | gap=0.780
[2026-05-11 12:26:35] #0168/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.963 | conf=0.750 | gap=0.650
[2026-05-11 12:27:02] #0169/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:30:53] #0177/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.308 | conf=0.550 | gap=0.300
[2026-05-11 12:31:08] #0178/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 12:32:41] #0181/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:33:08] #0182/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 12:33:36] #0183/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:33:58] #0184/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.940 | conf=0.700 | gap=0.600
[2026-05-11 12:34:10] #0185/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:35:00] #0187/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.442 | conf=0.500 | gap=0.250
[2026-05-11 12:35:14] #0188/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:35:37] #0189/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 12:36:20] #0190/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:37:12] #0191/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:37:57] #0192/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.748 | conf=0.820 | gap=0.770
[2026-05-11 12:38:35] #0193/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:38:49] #0194/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:39:40] #0196/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:39:58] #0197/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.830 | conf=0.800 | gap=0.750
[2026-05-11 12:40:45] #0199/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.466 | conf=0.450 | gap=0.200
[2026-05-11 12:41:32] #0201/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 12:42:15] #0202/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:42:48] #0203/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.562 | conf=0.750 | gap=0.500
[2026-05-11 12:43:10] #0204/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 12:43:41] #0205/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 12:44:16] #0206/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:44:55] #0208/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:45:21] #0209/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:46:01] #0210/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:46:17] #0211/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.297 | conf=0.600 | gap=0.500
[2026-05-11 12:47:16] #0213/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.476 | conf=0.900 | gap=0.870
[2026-05-11 12:47:34] #0214/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.333 | conf=0.500 | gap=0.300
[2026-05-11 12:47:48] #0215/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-11 12:48:36] #0217/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:48:55] #0218/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 12:50:02] #0220/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:50:29] #0221/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-11 12:50:43] #0222/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.751 | conf=0.820 | gap=0.770
[2026-05-11 12:50:58] #0223/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.945 | conf=0.750 | gap=0.670
[2026-05-11 12:51:16] #0224/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.221 | conf=0.650 | gap=0.550
[2026-05-11 12:51:51] #0225/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:52:05] #0226/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:53:06] #0228/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:53:30] #0229/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 12:55:12] #0232/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:55:53] #0234/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.129 | conf=0.700 | gap=0.620
[2026-05-11 12:56:06] #0235/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:56:43] #0236/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:57:17] #0237/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 12:59:30] #0242/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 12:59:58] #0243/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 13:00:32] #0244/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 13:01:24] #0246/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 13:02:11] #0248/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.393 | conf=0.867 | gap=0.733
[2026-05-11 13:02:34] #0249/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:03:18] #0251/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.785 | conf=0.820 | gap=0.770
[2026-05-11 13:03:33] #0252/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-11 13:03:49] #0253/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:04:06] #0254/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:04:35] #0255/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 13:05:58] #0258/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.477 | conf=0.550 | gap=0.450
[2026-05-11 13:06:42] #0259/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:07:44] #0261/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-11 13:08:10] #0262/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:08:29] #0263/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:09:00] #0264/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:09:30] #0265/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:09:45] #0266/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:10:11] #0267/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 13:10:24] #0268/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 13:11:00] #0269/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:11:12] #0270/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.129 | conf=0.700 | gap=0.620
[2026-05-11 13:11:27] #0271/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.442 | conf=0.500 | gap=0.250
[2026-05-11 13:11:41] #0272/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.535 | conf=0.450 | gap=0.200
[2026-05-11 13:12:05] #0273/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 13:12:35] #0274/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 13:13:19] #0275/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.867 | conf=0.750 | gap=0.600
