[2026-05-11 11:04:47] Class 15 (Stair-up) 软标签生成开始
[2026-05-11 11:04:47]   QUICK=False LIMIT=50
[2026-05-11 11:04:47]   温度=0.8 (from api_config)
[2026-05-11 11:04:48]   本类: 2708窗口 (仅加载本类, 内存友好)
[2026-05-11 11:04:48]   实际生成: 2708 窗口
[2026-05-11 11:05:25] #0001/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 11:22:32] #0034/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.251 | conf=0.650 | gap=0.570
[2026-05-11 11:23:05] #0035/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.334 | conf=0.920 | gap=0.880
[2026-05-11 11:23:35] #0036/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.398 | conf=0.920 | gap=0.890
[2026-05-11 11:24:03] #0037/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:24:41] #0038/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 11:24:57] #0039/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.734 | conf=0.350 | gap=0.150
[2026-05-11 11:25:31] #0040/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.494 | conf=0.895 | gap=0.842
[2026-05-11 11:25:31]   [40/2708] acc=24/40=60.0% filtered=38/40
[2026-05-11 11:26:02] #0041/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 11:26:33] #0042/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.340 | conf=0.600 | gap=0.450
[2026-05-11 11:27:01] #0043/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.498 | conf=0.500 | gap=0.300
[2026-05-11 11:27:15] #0044/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 11:27:33] #0045/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.612 | conf=0.350 | gap=0.050
[2026-05-11 11:28:17] #0046/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 11:28:45] #0047/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:29:23] #0048/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=1.162 | conf=0.500 | gap=0.222
[2026-05-11 11:30:20] #0049/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 11:30:49] #0050/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=0.837 | conf=0.800 | gap=0.740
[2026-05-11 11:31:08] #0051/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.271 | conf=0.600 | gap=0.450
[2026-05-11 11:31:36] #0052/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.259 | conf=0.928 | gap=0.856
[2026-05-11 11:32:07] #0053/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.640 | conf=0.850 | gap=0.800
[2026-05-11 11:32:41] #0054/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 11:32:59] #0055/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 11:33:17] #0056/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.297 | conf=0.600 | gap=0.500
[2026-05-11 11:34:03] #0057/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:34:38] #0058/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:34:53] #0059/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 11:36:03] #0060/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:36:03]   [60/2708] acc=39/60=65.0% filtered=55/60
[2026-05-11 11:36:22] #0061/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-11 11:37:11] #0062/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:37:39] #0063/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.768 | conf=0.750 | gap=0.550
[2026-05-11 11:38:13] #0064/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:38:35] #0065/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.994 | conf=0.700 | gap=0.550
[2026-05-11 11:39:04] #0066/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-11 11:39:39] #0067/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 11:40:14] #0068/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.781 | conf=0.820 | gap=0.770
[2026-05-11 11:40:47] #0069/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.490 | conf=0.880 | gap=0.830
[2026-05-11 11:41:09] #0070/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.541 | conf=0.500 | gap=0.350
[2026-05-11 11:41:43] #0071/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:41:59] #0072/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.513 | conf=0.350 | gap=0.100
[2026-05-11 11:42:28] #0073/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:42:43] #0074/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.880 | conf=0.790 | gap=0.740
[2026-05-11 11:43:28] #0075/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=1.642 | conf=0.450 | gap=0.300
[2026-05-11 11:43:43] #0076/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 11:44:15] #0077/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:44:28] #0078/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:44:57] #0079/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 11:45:31] #0080/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:45:31]   [80/2708] acc=55/80=68.8% filtered=72/80
[2026-05-11 11:45:55] #0081/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:46:23] #0082/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.929 | conf=0.750 | gap=0.650
[2026-05-11 11:46:56] #0083/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:47:10] #0084/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 11:47:38] #0085/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.233 | conf=0.950 | gap=0.925
[2026-05-11 11:48:28] #0086/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.357 | conf=0.920 | gap=0.880
[2026-05-11 11:48:52] #0087/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 11:49:25] #0088/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 11:49:39] #0089/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.175 | conf=0.600 | gap=0.450
[2026-05-11 11:49:59] #0090/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.307 | conf=0.500 | gap=0.200
[2026-05-11 11:50:11] #0091/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:50:43] #0092/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:51:07] #0093/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:51:27] #0094/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 11:51:58] #0095/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 11:52:17] #0096/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 11:52:50] #0097/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 11:53:25] #0098/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 11:53:59] #0099/02708 | true=Stair-up(15) | pred=Run(14) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:54:18] #0100/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:54:18]   [100/2708] acc=70/100=70.0% filtered=91/100
[2026-05-11 11:54:45] #0101/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 11:55:23] #0102/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.998 | conf=0.750 | gap=0.700
[2026-05-11 11:55:54] #0103/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.486 | conf=0.900 | gap=0.880
[2026-05-11 11:56:35] #0104/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:57:27] #0105/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.815 | conf=0.800 | gap=0.740
[2026-05-11 11:57:45] #0106/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 11:58:27] #0107/02708 | true=Stair-up(15) | pred=Table-tennis(17) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:58:51] #0108/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.089 | conf=0.600 | gap=0.400
[2026-05-11 11:59:20] #0109/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.834 | conf=0.750 | gap=0.600
[2026-05-11 12:00:15] #0110/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.334 | conf=0.940 | gap=0.930
[2026-05-11 12:00:47] #0111/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.309 | conf=0.550 | gap=0.350
[2026-05-11 12:01:20] #0112/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.679 | conf=0.850 | gap=0.800
[2026-05-11 12:01:54] #0113/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.379 | conf=0.920 | gap=0.890
[2026-05-11 12:02:27] #0114/02708 | true=Stair-up(15) | pred=Pick(7) | ✗ | ent=1.469 | conf=0.550 | gap=0.450
[2026-05-11 12:03:14] #0115/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=1.373 | conf=0.500 | gap=0.250
[2026-05-11 12:03:57] #0116/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-11 12:04:29] #0117/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=1.159 | conf=0.680 | gap=0.600
[2026-05-11 12:04:59] #0118/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:05:13] #0119/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:06:01] #0120/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 12:06:01]   [120/2708] acc=83/120=69.2% filtered=110/120
[2026-05-11 12:06:29] #0121/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:06:44] #0122/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.121 | conf=0.650 | gap=0.550
[2026-05-11 12:07:04] #0123/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 12:07:28] #0124/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.648 | conf=0.820 | gap=0.720
[2026-05-11 12:08:12] #0125/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:08:25] #0126/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 12:08:41] #0127/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.373 | conf=0.550 | gap=0.400
[2026-05-11 12:09:16] #0128/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 12:09:55] #0129/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:10:28] #0130/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=1.330 | conf=0.550 | gap=0.350
[2026-05-11 12:11:03] #0131/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:11:43] #0132/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:12:14] #0133/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:12:29] #0134/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.287 | conf=0.950 | gap=0.942
[2026-05-11 12:12:47] #0135/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:13:13] #0136/02708 | true=Stair-up(15) | pred=Lay-stand(6) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:13:39] #0137/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.334 | conf=0.920 | gap=0.880
[2026-05-11 12:14:06] #0138/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:14:27] #0139/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.113 | conf=0.700 | gap=0.600
[2026-05-11 12:14:39] #0140/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:14:39]   [140/2708] acc=97/140=69.3% filtered=130/140
[2026-05-11 12:14:59] #0141/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:15:13] #0142/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.776 | conf=0.820 | gap=0.770
[2026-05-11 12:15:42] #0143/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:16:10] #0144/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:16:20] #0145/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:17:03] #0146/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:17:44] #0147/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 12:18:01] #0148/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:18:32] #0149/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=1.013 | conf=0.500 | gap=0.100
[2026-05-11 12:18:59] #0150/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.785 | conf=0.820 | gap=0.770
[2026-05-11 12:19:38] #0151/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 12:19:54] #0152/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 12:20:17] #0153/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.865 | conf=0.250 | gap=0.100
[2026-05-11 12:20:33] #0154/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 12:21:00] #0155/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:21:28] #0156/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:21:48] #0157/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 12:22:10] #0158/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.777 | conf=0.350 | gap=0.200
[2026-05-11 12:22:39] #0159/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.552 | conf=0.880 | gap=0.850
[2026-05-11 12:23:09] #0160/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.993 | conf=0.650 | gap=0.400
[2026-05-11 12:23:09]   [160/2708] acc=109/160=68.1% filtered=147/160
[2026-05-11 12:23:36] #0161/02708 | true=Stair-up(15) | pred=Lay-stand(6) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:23:57] #0162/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:24:19] #0163/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 12:24:48] #0164/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.679 | conf=0.850 | gap=0.800
[2026-05-11 12:24:59] #0165/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:25:32] #0166/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.750 | conf=0.830 | gap=0.780
[2026-05-11 12:26:08] #0167/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=1.333 | conf=0.500 | gap=0.300
[2026-05-11 12:26:35] #0168/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.963 | conf=0.750 | gap=0.650
[2026-05-11 12:27:02] #0169/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:27:34] #0170/02708 | true=Stair-up(15) | pred=Table-tennis(17) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:28:06] #0171/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:28:38] #0172/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:29:08] #0173/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.706 | conf=0.780 | gap=0.630
[2026-05-11 12:29:35] #0174/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.332 | conf=0.941 | gap=0.931
[2026-05-11 12:30:08] #0175/02708 | true=Stair-up(15) | pred=Jump(8) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:30:35] #0176/02708 | true=Stair-up(15) | pred=Pick(7) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:30:53] #0177/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.308 | conf=0.550 | gap=0.300
[2026-05-11 12:31:08] #0178/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 12:31:32] #0179/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:32:10] #0180/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=1.583 | conf=0.400 | gap=0.200
[2026-05-11 12:32:10]   [180/2708] acc=117/180=65.0% filtered=165/180
[2026-05-11 12:32:41] #0181/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:33:08] #0182/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
