[2026-05-11 11:04:24] #0001/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.458 | conf=0.900 | gap=0.860
[2026-05-11 11:17:26] #0020/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.495 | conf=0.900 | gap=0.870
[2026-05-11 11:17:50] #0021/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.892 | conf=0.750 | gap=0.620
[2026-05-11 11:18:28] #0022/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:18:59] #0023/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:19:38] #0024/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:20:14] #0025/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.819 | conf=0.700 | gap=0.550
[2026-05-11 11:20:46] #0026/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:21:11] #0027/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:21:39] #0028/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-11 11:22:05] #0029/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:22:41] #0030/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:23:07] #0031/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.778 | conf=0.820 | gap=0.780
[2026-05-11 11:23:39] #0032/03347 | true=Sit-up(10) | pred=Stair-down(16) | ✗ | ent=1.215 | conf=0.600 | gap=0.450
[2026-05-11 11:24:08] #0033/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 11:24:40] #0034/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:25:54] #0036/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.693 | conf=0.850 | gap=0.800
[2026-05-11 11:26:14] #0037/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:26:28] #0038/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 11:26:53] #0039/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:27:26] #0040/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 11:27:53] #0041/03347 | true=Sit-up(10) | pred=Table-tennis(17) | ✗ | ent=0.826 | conf=0.800 | gap=0.720
[2026-05-11 11:28:28] #0042/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.291 | conf=0.951 | gap=0.944
[2026-05-11 11:28:44] #0043/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.321 | conf=0.600 | gap=0.450
[2026-05-11 11:29:12] #0044/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=1.260 | conf=0.720 | gap=0.670
[2026-05-11 11:29:49] #0045/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 11:30:18] #0046/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.647 | conf=0.800 | gap=0.650
[2026-05-11 11:30:58] #0047/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 11:32:04] #0049/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:32:39] #0050/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 11:33:10] #0051/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 11:33:40] #0052/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=1.235 | conf=0.691 | gap=0.638
[2026-05-11 11:34:17] #0053/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=1.381 | conf=0.550 | gap=0.400
[2026-05-11 11:34:36] #0054/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:35:03] #0055/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:35:33] #0056/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=1.483 | conf=0.579 | gap=0.474
[2026-05-11 11:36:22] #0057/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:36:51] #0058/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:37:00] #0059/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:37:32] #0060/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:38:00] #0061/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 11:38:26] #0062/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:39:11] #0063/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:39:45] #0064/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.602 | conf=0.850 | gap=0.770
[2026-05-11 11:40:15] #0065/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 11:40:30] #0066/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:41:04] #0067/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 11:41:18] #0068/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.645 | conf=0.842 | gap=0.789
[2026-05-11 11:41:31] #0069/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 11:41:55] #0070/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:42:34] #0071/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-11 11:42:59] #0072/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.623 | conf=0.850 | gap=0.790
[2026-05-11 11:43:25] #0073/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=1.043 | conf=0.700 | gap=0.600
[2026-05-11 11:43:52] #0074/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:44:31] #0075/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.375 | conf=0.900 | gap=0.820
[2026-05-11 11:44:58] #0076/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.332 | conf=0.920 | gap=0.870
[2026-05-11 11:45:14] #0077/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:45:29] #0078/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.677 | conf=0.816 | gap=0.714
[2026-05-11 11:46:13] #0079/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:46:41] #0080/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:47:15] #0081/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 11:47:42] #0082/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 11:48:20] #0083/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 11:48:46] #0084/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:49:13] #0085/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.389 | conf=0.895 | gap=0.811
[2026-05-11 11:49:38] #0086/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:49:56] #0087/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:51:27] #0089/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 11:51:42] #0090/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 11:52:13] #0091/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.426 | conf=0.889 | gap=0.833
[2026-05-11 11:52:39] #0092/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:53:03] #0093/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:53:34] #0094/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 11:54:33] #0095/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 11:55:02] #0096/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.647 | conf=0.650 | gap=0.300
[2026-05-11 11:55:17] #0097/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.766 | conf=0.789 | gap=0.705
[2026-05-11 11:56:10] #0098/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.557 | conf=0.833 | gap=0.722
[2026-05-11 11:56:34] #0099/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:57:04] #0100/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:57:17] #0101/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-11 11:57:33] #0102/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.764 | conf=0.800 | gap=0.720
[2026-05-11 11:57:49] #0103/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.451 | conf=0.833 | gap=0.667
[2026-05-11 11:58:29] #0104/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:58:38] #0105/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:59:03] #0106/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 11:59:15] #0107/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:59:48] #0108/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 12:00:27] #0109/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.679 | conf=0.850 | gap=0.800
[2026-05-11 12:01:05] #0110/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.351 | conf=0.920 | gap=0.870
[2026-05-11 12:01:41] #0111/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:02:17] #0112/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:02:49] #0113/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:03:19] #0114/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-11 12:04:48] #0117/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:05:33] #0118/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:06:01] #0119/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:06:17] #0120/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:06:42] #0121/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.404 | conf=0.920 | gap=0.900
[2026-05-11 12:06:57] #0122/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.792 | conf=0.800 | gap=0.720
[2026-05-11 12:07:10] #0123/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 12:07:51] #0124/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-11 12:08:18] #0125/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 12:08:44] #0126/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.758 | conf=0.800 | gap=0.720
[2026-05-11 12:10:01] #0128/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:10:50] #0129/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:11:19] #0130/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.842 | conf=0.800 | gap=0.750
[2026-05-11 12:11:54] #0131/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.562 | conf=0.750 | gap=0.500
[2026-05-11 12:12:10] #0132/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 12:12:37] #0133/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:13:02] #0134/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:14:24] #0136/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.473 | conf=0.870 | gap=0.790
[2026-05-11 12:14:52] #0137/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:15:05] #0138/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 12:15:35] #0139/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=1.400 | conf=0.550 | gap=0.450
[2026-05-11 12:15:59] #0140/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 12:16:21] #0141/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:16:51] #0142/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:17:14] #0143/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:17:43] #0144/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 12:18:08] #0145/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:18:39] #0146/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:19:17] #0147/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.794 | conf=0.700 | gap=0.450
[2026-05-11 12:19:54] #0148/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=1.469 | conf=0.550 | gap=0.450
[2026-05-11 12:20:22] #0149/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.926 | conf=0.667 | gap=0.444
[2026-05-11 12:20:48] #0150/03347 | true=Sit-up(10) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:21:17] #0151/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 12:21:44] #0152/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:22:10] #0153/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:22:34] #0154/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:23:03] #0155/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.729 | conf=0.714 | gap=0.459
[2026-05-11 12:23:32] #0156/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 12:24:01] #0157/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:24:35] #0158/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 12:25:41] #0160/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-11 12:26:05] #0161/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.464 | conf=0.900 | gap=0.875
[2026-05-11 12:26:30] #0162/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:26:55] #0163/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:27:09] #0164/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:27:42] #0165/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.051 | conf=0.667 | gap=0.500
[2026-05-11 12:28:42] #0166/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.679 | conf=0.850 | gap=0.800
[2026-05-11 12:28:58] #0167/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 12:29:29] #0168/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 12:29:59] #0169/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=1.071 | conf=0.720 | gap=0.640
[2026-05-11 12:30:25] #0170/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:30:52] #0171/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:31:49] #0173/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 12:32:21] #0174/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:32:58] #0175/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.051 | conf=0.650 | gap=0.450
[2026-05-11 12:33:25] #0176/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:33:58] #0177/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:34:32] #0178/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.683 | conf=0.850 | gap=0.820
[2026-05-11 12:34:55] #0179/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.709 | conf=0.820 | gap=0.750
[2026-05-11 12:35:29] #0180/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.850 | conf=0.800 | gap=0.720
[2026-05-11 12:37:01] #0182/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:37:16] #0183/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:37:41] #0184/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=1.099 | conf=0.750 | gap=0.700
[2026-05-11 12:38:10] #0185/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.486 | conf=0.900 | gap=0.880
[2026-05-11 12:39:07] #0187/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 12:39:34] #0188/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:40:01] #0189/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.197 | conf=0.650 | gap=0.500
[2026-05-11 12:40:28] #0190/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:41:31] #0192/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 12:41:59] #0193/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:42:24] #0194/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:42:44] #0195/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.417 | conf=0.920 | gap=0.900
[2026-05-11 12:43:33] #0197/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 12:44:04] #0198/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=1.000 | conf=0.737 | gap=0.684
[2026-05-11 12:44:31] #0199/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:44:48] #0200/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:45:19] #0201/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 12:45:49] #0202/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-11 12:46:12] #0203/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:46:35] #0204/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 12:47:11] #0205/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.679 | conf=0.850 | gap=0.800
