[2026-05-08 13:51:32]   [001/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.83 | top=2:0.75, 1:0.15
[2026-05-08 14:12:16]   [072/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 14:12:35]   [073/6498] | true=sitting(1) | pred=walking(3) |  ✗ | ent=0.46 | top=3:0.90, 4:0.04
[2026-05-08 14:12:45]   [074/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.20 | top=3:0.95, 4:0.05
[2026-05-08 14:12:56]   [075/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=0.86 | top=1:0.50, 0:0.45
[2026-05-08 14:13:15]   [076/6498] | true=lying(0) | pred=sitting(1) |  ✗ | ent=0.85 | top=1:0.55, 0:0.40
[2026-05-08 14:13:29]   [077/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 14:13:47]   [078/6498] | true=standing(2) | pred=walking(3) |  ✗ | ent=0.20 | top=3:0.95, 4:0.05
[2026-05-08 14:13:54]   [079/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.22 | top=3:0.96, 0:0.01
[2026-05-08 14:14:02]   [080/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.46 | top=2:0.90, 1:0.03
[2026-05-08 14:14:16]   [081/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=1.00 | top=1:0.60, 2:0.30
[2026-05-08 14:14:25]   [082/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.33 | top=4:0.90, 3:0.10
[2026-05-08 14:14:38]   [083/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=0.99 | top=1:0.55, 0:0.35
[2026-05-08 14:14:47]   [084/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=1.20 | top=1:0.45, 2:0.35
[2026-05-08 14:15:08]   [085/6498] | true=sitting(1) | pred=standing(2) |  ✗ | ent=0.34 | top=2:0.93, 1:0.03
[2026-05-08 14:15:28]   [086/6498] | true=sitting(1) | pred=jogging(4) |  ✗ | ent=0.65 | top=4:0.65, 3:0.35
[2026-05-08 14:15:39]   [087/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.46 | top=2:0.90, 1:0.03
[2026-05-08 14:15:49]   [088/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.85 | top=0:0.55, 1:0.40
[2026-05-08 14:16:01]   [089/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.46 | top=2:0.90, 1:0.03
[2026-05-08 14:16:13]   [090/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.55, 1:0.45
[2026-05-08 14:16:33]   [091/6498] | true=sitting(1) | pred=standing(2) |  ✗ | ent=0.46 | top=2:0.90, 1:0.03
[2026-05-08 14:16:42]   [092/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.89 | top=0:0.55, 1:0.40
[2026-05-08 14:17:12]   [093/6498] | true=standing(2) | pred=sitting(1) |  ✗ | ent=1.13 | top=1:0.50, 0:0.35
[2026-05-08 14:17:23]   [094/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.42 | top=4:0.90, 3:0.07
[2026-05-08 14:17:33]   [095/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.20 | top=4:0.95, 3:0.05
[2026-05-08 14:17:46]   [096/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.63 | top=2:0.82, 1:0.13
[2026-05-08 14:17:56]   [097/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.50, 1:0.50
[2026-05-08 14:18:04]   [098/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.50, 1:0.50
[2026-05-08 14:18:24]   [099/6498] | true=standing(2) | pred=walking(3) |  ✗ | ent=0.27 | top=3:0.95, 4:0.02
[2026-05-08 14:18:52]   [100/6498] | true=lying(0) | pred=walking(3) |  ✗ | ent=0.39 | top=3:0.92, 0:0.02
[2026-05-08 14:19:21]   [101/6498] | true=lying(0) | pred=standing(2) |  ✗ | ent=0.71 | top=2:0.80, 1:0.13
[2026-05-08 14:19:50]   [102/6498] | true=lying(0) | pred=sitting(1) |  ✗ | ent=0.97 | top=1:0.55, 0:0.30
[2026-05-08 14:20:12]   [103/6498] | true=lying(0) | pred=walking(3) |  ✗ | ent=0.39 | top=3:0.92, 0:0.02
[2026-05-08 14:20:36]   [104/6498] | true=sitting(1) | pred=lying(0) |  ✗ | ent=0.69 | top=0:0.50, 1:0.50
[2026-05-08 14:20:46]   [105/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=0.91 | top=1:0.50, 0:0.45
[2026-05-08 14:20:56]   [106/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 14:21:07]   [107/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.46 | top=2:0.90, 1:0.03
[2026-05-08 14:21:22]   [108/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.83 | top=2:0.75, 1:0.15
[2026-05-08 14:21:49]   [109/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=1.05 | top=0:0.45, 1:0.45
[2026-05-08 14:22:12]   [110/6498] | true=sitting(1) | pred=lying(0) |  ✗ | ent=0.83 | top=0:0.48, 1:0.48
[2026-05-08 14:22:27]   [111/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.48 | top=2:0.88, 1:0.08
[2026-05-08 14:22:39]   [112/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=0.86 | top=1:0.50, 0:0.45
[2026-05-08 14:22:50]   [113/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.89 | top=0:0.55, 1:0.40
[2026-05-08 14:23:13]   [114/6498] | true=lying(0) | pred=sitting(1) |  ✗ | ent=0.96 | top=1:0.65, 0:0.25
[2026-05-08 14:23:29]   [115/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=1.03 | top=1:0.55, 0:0.35
[2026-05-08 14:23:39]   [116/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.20 | top=4:0.95, 3:0.05
[2026-05-08 14:24:05]   [117/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.50, 1:0.50
