[2026-05-08 11:38:18]   [001/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.46 | top=2:0.90, 1:0.03
[2026-05-08 11:54:07]   [068/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=1.14 | top=2:0.45, 1:0.40
[2026-05-08 11:54:17]   [069/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.83 | top=2:0.75, 1:0.15
[2026-05-08 11:54:26]   [070/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.85 | top=0:0.55, 1:0.40
[2026-05-08 11:54:34]   [071/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.62 | top=4:0.80, 3:0.17
[2026-05-08 11:54:42]   [072/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.60 | top=2:0.85, 1:0.08
[2026-05-08 11:55:04]   [074/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.65 | top=3:0.82, 4:0.12
[2026-05-08 11:55:11]   [075/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=0.85 | top=1:0.55, 0:0.40
[2026-05-08 11:55:36]   [077/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.62 | top=2:0.85, 0:0.05
[2026-05-08 11:56:11]   [079/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.28 | top=3:0.92, 4:0.08
[2026-05-08 11:56:21]   [080/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 11:56:40]   [081/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=1.20 | top=1:0.45, 2:0.35
[2026-05-08 11:56:48]   [082/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.33 | top=4:0.90, 3:0.10
[2026-05-08 11:56:57]   [083/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=0.82 | top=1:0.60, 0:0.35
[2026-05-08 11:57:16]   [084/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=1.08 | top=1:0.40, 0:0.35
[2026-05-08 11:58:01]   [087/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 11:58:09]   [088/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.55, 1:0.45
[2026-05-08 11:58:15]   [089/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.46 | top=2:0.90, 1:0.03
[2026-05-08 11:58:24]   [090/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.95 | top=0:0.45, 1:0.45
[2026-05-08 11:58:52]   [092/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.50, 1:0.50
[2026-05-08 11:59:20]   [094/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.42 | top=4:0.90, 3:0.07
[2026-05-08 11:59:26]   [095/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.20 | top=4:0.95, 3:0.05
[2026-05-08 11:59:33]   [096/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 11:59:41]   [097/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.83 | top=0:0.48, 1:0.48
[2026-05-08 11:59:52]   [098/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.50, 1:0.50
[2026-05-08 12:02:05]   [105/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=0.53 | top=1:0.87, 0:0.08
[2026-05-08 12:02:15]   [106/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 12:02:24]   [107/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 12:02:32]   [108/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.46 | top=2:0.90, 1:0.03
[2026-05-08 12:03:26]   [111/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 12:03:36]   [112/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=1.05 | top=1:0.50, 0:0.40
[2026-05-08 12:03:45]   [113/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.50, 1:0.50
[2026-05-08 12:04:30]   [116/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.20 | top=4:0.95, 3:0.05
[2026-05-08 12:04:38]   [117/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.50, 1:0.50
[2026-05-08 12:04:58]   [119/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.31 | top=3:0.94, 2:0.02
[2026-05-08 12:05:06]   [120/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.53 | top=3:0.86, 4:0.10
[2026-05-08 12:05:13]   [121/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 12:05:54]   [124/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.46 | top=2:0.90, 1:0.03
[2026-05-08 12:06:02]   [125/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.53 | top=3:0.85, 4:0.12
[2026-05-08 12:06:10]   [126/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.55, 1:0.45
[2026-05-08 12:06:21]   [127/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.79 | top=0:0.65, 1:0.30
[2026-05-08 12:06:31]   [128/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 12:06:43]   [129/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.72 | top=0:0.75, 1:0.20
[2026-05-08 12:06:50]   [130/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.52, 1:0.48
[2026-05-08 12:07:01]   [131/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 12:07:42]   [134/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.90 | top=0:0.55, 1:0.40
[2026-05-08 12:08:08]   [136/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.85 | top=0:0.55, 1:0.40
[2026-05-08 12:08:39]   [138/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.85 | top=0:0.55, 1:0.40
[2026-05-08 12:08:47]   [139/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.42 | top=4:0.90, 3:0.07
[2026-05-08 12:08:55]   [140/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.42 | top=3:0.85, 4:0.15
[2026-05-08 12:09:04]   [141/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 12:10:19]   [146/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.38 | top=2:0.92, 1:0.03
[2026-05-08 12:10:27]   [147/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=0.65 | top=1:0.65, 0:0.35
[2026-05-08 12:10:49]   [149/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.62 | top=2:0.85, 0:0.05
[2026-05-08 12:11:43]   [152/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=1.00 | top=1:0.50, 2:0.35
[2026-05-08 12:12:30]   [155/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.56 | top=0:0.75, 1:0.25
[2026-05-08 12:12:39]   [156/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.59 | top=3:0.82, 4:0.15
[2026-05-08 12:13:02]   [158/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 12:13:26]   [160/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.46 | top=2:0.90, 1:0.03
[2026-05-08 12:14:07]   [163/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.62 | top=2:0.85, 0:0.05
[2026-05-08 12:14:14]   [164/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.46 | top=2:0.90, 1:0.03
[2026-05-08 12:14:23]   [165/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=1.26 | top=2:0.45, 1:0.35
[2026-05-08 12:14:31]   [166/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 12:14:36]   [167/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.20 | top=3:0.95, 4:0.05
[2026-05-08 12:14:44]   [168/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.36 | top=3:0.92, 4:0.05
[2026-05-08 12:14:52]   [169/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.33 | top=4:0.90, 3:0.10
[2026-05-08 12:15:15]   [171/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.50, 1:0.50
[2026-05-08 12:15:26]   [172/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.50, 1:0.50
[2026-05-08 12:15:31]   [173/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.20 | top=4:0.95, 3:0.05
[2026-05-08 12:15:37]   [174/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.20 | top=4:0.95, 3:0.05
[2026-05-08 12:15:44]   [175/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.72 | top=3:0.72, 4:0.25
[2026-05-08 12:15:53]   [176/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 12:16:11]   [177/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.65 | top=3:0.65, 4:0.35
[2026-05-08 12:16:21]   [178/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.75 | top=0:0.70, 1:0.25
[2026-05-08 12:16:48]   [180/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.79 | top=0:0.65, 1:0.30
[2026-05-08 12:17:32]   [183/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.83 | top=2:0.75, 1:0.15
[2026-05-08 12:17:56]   [185/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.36 | top=3:0.92, 4:0.05
[2026-05-08 12:18:24]   [187/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.55, 1:0.45
[2026-05-08 12:18:32]   [188/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.48 | top=2:0.88, 1:0.08
[2026-05-08 12:18:58]   [190/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.78 | top=2:0.80, 0:0.05
[2026-05-08 12:19:04]   [191/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.46 | top=2:0.90, 1:0.03
[2026-05-08 12:19:12]   [192/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.53 | top=4:0.85, 3:0.12
[2026-05-08 12:19:35]   [194/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.46 | top=2:0.90, 1:0.03
[2026-05-08 12:19:46]   [195/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.63 | top=2:0.82, 1:0.13
[2026-05-08 12:19:56]   [196/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 12:20:04]   [197/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.42 | top=4:0.90, 3:0.07
[2026-05-08 12:20:14]   [198/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.85 | top=0:0.55, 1:0.40
[2026-05-08 12:20:23]   [199/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
