[2026-05-11 11:03:26] Class 7 (Pick) 软标签生成开始
[2026-05-11 11:03:26]   QUICK=False LIMIT=50
[2026-05-11 11:03:26]   温度=0.8 (from api_config)
[2026-05-11 11:03:26]   本类: 4275窗口 (仅加载本类, 内存友好)
[2026-05-11 11:03:26]   实际生成: 4275 窗口
[2026-05-11 11:03:56] #0001/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 11:09:56] #0014/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.708 | conf=0.850 | gap=0.820
[2026-05-11 11:10:37] #0015/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 11:11:07] #0016/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:11:27] #0017/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.207 | conf=0.550 | gap=0.250
[2026-05-11 11:11:43] #0018/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:12:12] #0019/04275 | true=Pick(7) | pred=Push-up(9) | ✗ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-11 11:12:56] #0020/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.708 | conf=0.850 | gap=0.820
[2026-05-11 11:12:56]   [20/4275] acc=15/20=75.0% filtered=20/20
[2026-05-11 11:13:48] #0021/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:14:26] #0022/04275 | true=Pick(7) | pred=Walk-backwards(12) | ✗ | ent=1.235 | conf=0.550 | gap=0.350
[2026-05-11 11:14:57] #0023/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:15:23] #0024/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.735 | conf=0.750 | gap=0.550
[2026-05-11 11:16:19] #0025/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=1.359 | conf=0.500 | gap=0.300
[2026-05-11 11:17:15] #0026/04275 | true=Pick(7) | pred=Push-up(9) | ✗ | ent=1.059 | conf=0.720 | gap=0.600
[2026-05-11 11:18:04] #0027/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:18:32] #0028/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:19:10] #0029/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:19:41] #0030/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.302 | conf=0.928 | gap=0.876
[2026-05-11 11:20:14] #0031/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:20:29] #0032/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.613 | conf=0.850 | gap=0.780
[2026-05-11 11:21:24] #0033/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=1.039 | conf=0.700 | gap=0.580
[2026-05-11 11:21:54] #0034/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:22:24] #0035/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 11:22:39] #0036/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:23:12] #0037/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 11:23:43] #0038/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-11 11:24:10] #0039/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 11:24:27] #0040/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 11:24:27]   [40/4275] acc=30/40=75.0% filtered=39/40
[2026-05-11 11:25:07] #0041/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 11:25:45] #0042/04275 | true=Pick(7) | pred=Talk-stand(3) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 11:26:22] #0043/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.751 | conf=0.820 | gap=0.770
[2026-05-11 11:26:52] #0044/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.606 | conf=0.706 | gap=0.412
[2026-05-11 11:27:43] #0045/04275 | true=Pick(7) | pred=Push-up(9) | ✗ | ent=1.031 | conf=0.700 | gap=0.550
[2026-05-11 11:28:20] #0046/04275 | true=Pick(7) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:28:55] #0047/04275 | true=Pick(7) | pred=Talk-stand(3) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:29:26] #0048/04275 | true=Pick(7) | pred=Talk-stand(3) | ✗ | ent=1.203 | conf=0.750 | gap=0.700
[2026-05-11 11:29:43] #0049/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.118 | conf=0.750 | gap=0.700
[2026-05-11 11:30:14] #0050/04275 | true=Pick(7) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:30:45] #0051/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.421 | conf=0.880 | gap=0.780
[2026-05-11 11:31:20] #0052/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.417 | conf=0.920 | gap=0.900
[2026-05-11 11:31:54] #0053/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:32:24] #0054/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=0.982 | conf=0.740 | gap=0.660
[2026-05-11 11:32:41] #0055/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.139 | conf=0.550 | gap=0.250
[2026-05-11 11:34:04] #0056/04275 | true=Pick(7) | pred=Walk(11) | ✗ | ent=1.564 | conf=0.420 | gap=0.240
[2026-05-11 11:34:41] #0057/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 11:35:15] #0058/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:36:06] #0059/04275 | true=Pick(7) | pred=Push-up(9) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 11:36:44] #0060/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:36:44]   [60/4275] acc=40/60=66.7% filtered=58/60
[2026-05-11 11:37:23] #0061/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:37:49] #0062/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:38:17] #0063/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:39:05] #0064/04275 | true=Pick(7) | pred=Push-up(9) | ✗ | ent=1.634 | conf=0.450 | gap=0.300
[2026-05-11 11:39:34] #0065/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.927 | conf=0.737 | gap=0.632
[2026-05-11 11:40:20] #0066/04275 | true=Pick(7) | pred=Push-up(9) | ✗ | ent=1.261 | conf=0.550 | gap=0.350
[2026-05-11 11:40:48] #0067/04275 | true=Pick(7) | pred=Sit-up(10) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:41:30] #0068/04275 | true=Pick(7) | pred=Push-up(9) | ✗ | ent=1.187 | conf=0.450 | gap=0.100
[2026-05-11 11:41:45] #0069/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:42:21] #0070/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.253 | conf=0.950 | gap=0.930
[2026-05-11 11:42:55] #0071/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:43:13] #0072/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 11:43:47] #0073/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=0.717 | conf=0.800 | gap=0.720
[2026-05-11 11:44:16] #0074/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 11:44:29] #0075/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:45:07] #0076/04275 | true=Pick(7) | pred=Walk(11) | ✗ | ent=1.330 | conf=0.550 | gap=0.350
[2026-05-11 11:45:53] #0077/04275 | true=Pick(7) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:46:08] #0078/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 11:46:48] #0079/04275 | true=Pick(7) | pred=Push-up(9) | ✗ | ent=1.433 | conf=0.550 | gap=0.450
[2026-05-11 11:47:25] #0080/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=0.850 | conf=0.800 | gap=0.760
[2026-05-11 11:47:25]   [80/4275] acc=51/80=63.7% filtered=76/80
[2026-05-11 11:47:38] #0081/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:48:10] #0082/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 11:48:40] #0083/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.471 | conf=0.880 | gap=0.800
[2026-05-11 11:49:14] #0084/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=1.136 | conf=0.550 | gap=0.300
[2026-05-11 11:49:38] #0085/04275 | true=Pick(7) | pred=Push-up(9) | ✗ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 11:50:14] #0086/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.713 | conf=0.850 | gap=0.820
[2026-05-11 11:50:45] #0087/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:51:19] #0088/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.599 | conf=0.850 | gap=0.750
[2026-05-11 11:52:06] #0089/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:52:26] #0090/04275 | true=Pick(7) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:53:04] #0091/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 11:53:36] #0092/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:54:15] #0093/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:54:46] #0094/04275 | true=Pick(7) | pred=Stand-sit(4) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 11:55:03] #0095/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:55:17] #0096/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:55:57] #0097/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.566 | conf=0.850 | gap=0.750
[2026-05-11 11:56:56] #0098/04275 | true=Pick(7) | pred=Lay-stand(6) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 11:57:33] #0099/04275 | true=Pick(7) | pred=Talk-stand(3) | ✗ | ent=1.258 | conf=0.720 | gap=0.670
[2026-05-11 11:58:01] #0100/04275 | true=Pick(7) | pred=Sit-up(10) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:58:01]   [100/4275] acc=62/100=62.0% filtered=96/100
[2026-05-11 11:58:28] #0101/04275 | true=Pick(7) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:58:50] #0102/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.257 | conf=0.450 | gap=0.100
[2026-05-11 11:59:33] #0103/04275 | true=Pick(7) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:59:59] #0104/04275 | true=Pick(7) | pred=Lay-stand(6) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:00:25] #0105/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:01:03] #0106/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:02:17] #0107/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:02:55] #0108/04275 | true=Pick(7) | pred=Push-up(9) | ✗ | ent=1.469 | conf=0.450 | gap=0.150
[2026-05-11 12:03:37] #0109/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:04:18] #0110/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 12:04:48] #0111/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.386 | conf=0.900 | gap=0.830
[2026-05-11 12:05:17] #0112/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 12:05:33] #0113/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:05:47] #0114/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.259 | conf=0.650 | gap=0.500
[2026-05-11 12:06:30] #0115/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.754 | conf=0.850 | gap=0.820
[2026-05-11 12:07:06] #0116/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:07:38] #0117/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:07:53] #0118/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:08:28] #0119/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=1.063 | conf=0.600 | gap=0.400
[2026-05-11 12:08:55] #0120/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 12:08:55]   [120/4275] acc=74/120=61.7% filtered=114/120
[2026-05-11 12:09:27] #0121/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:09:53] #0122/04275 | true=Pick(7) | pred=Push-up(9) | ✗ | ent=0.398 | conf=0.920 | gap=0.890
[2026-05-11 12:10:27] #0123/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:10:41] #0124/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 12:11:22] #0125/04275 | true=Pick(7) | pred=Push-up(9) | ✗ | ent=0.956 | conf=0.750 | gap=0.680
[2026-05-11 12:11:53] #0126/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.498 | conf=0.850 | gap=0.730
[2026-05-11 12:12:20] #0127/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:12:57] #0128/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 12:13:35] #0129/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-11 12:14:06] #0130/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.509 | conf=0.900 | gap=0.870
[2026-05-11 12:14:43] #0131/04275 | true=Pick(7) | pred=Push-up(9) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:14:55] #0132/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:15:29] #0133/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=1.340 | conf=0.600 | gap=0.450
[2026-05-11 12:15:43] #0134/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.926 | conf=0.750 | gap=0.670
[2026-05-11 12:16:08] #0135/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 12:16:36] #0136/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 12:17:03] #0137/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:17:30] #0138/04275 | true=Pick(7) | pred=Talk-stand(3) | ✗ | ent=0.613 | conf=0.850 | gap=0.790
[2026-05-11 12:17:44] #0139/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 12:18:14] #0140/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 12:18:14]   [140/4275] acc=88/140=62.9% filtered=134/140
[2026-05-11 12:18:50] #0141/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.514 | conf=0.900 | gap=0.880
[2026-05-11 12:19:18] #0142/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.577 | conf=0.880 | gap=0.850
[2026-05-11 12:20:18] #0143/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 12:21:05] #0144/04275 | true=Pick(7) | pred=Push-up(9) | ✗ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 12:21:36] #0145/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.375 | conf=0.900 | gap=0.820
[2026-05-11 12:22:04] #0146/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:22:20] #0147/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:22:54] #0148/04275 | true=Pick(7) | pred=Talk-stand(3) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:23:25] #0149/04275 | true=Pick(7) | pred=Talk-stand(3) | ✗ | ent=0.955 | conf=0.647 | gap=0.412
[2026-05-11 12:23:40] #0150/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.758 | conf=0.800 | gap=0.720
[2026-05-11 12:24:18] #0151/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 12:24:53] #0152/04275 | true=Pick(7) | pred=Talk-stand(3) | ✗ | ent=0.554 | conf=0.880 | gap=0.840
[2026-05-11 12:25:27] #0153/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:25:53] #0154/04275 | true=Pick(7) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:26:29] #0155/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=1.483 | conf=0.400 | gap=0.050
[2026-05-11 12:27:26] #0156/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 12:28:03] #0157/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 12:28:18] #0158/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:28:59] #0159/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 12:29:27] #0160/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.375 | conf=0.900 | gap=0.820
[2026-05-11 12:29:27]   [160/4275] acc=101/160=63.1% filtered=153/160
[2026-05-11 12:30:12] #0161/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:30:32] #0162/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.025 | conf=0.650 | gap=0.500
[2026-05-11 12:31:04] #0163/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:31:34] #0164/04275 | true=Pick(7) | pred=Sit-up(10) | ✗ | ent=1.119 | conf=0.647 | gap=0.529
[2026-05-11 12:32:14] #0165/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=1.129 | conf=0.700 | gap=0.620
[2026-05-11 12:32:45] #0166/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.203 | conf=0.948 | gap=0.897
[2026-05-11 12:33:20] #0167/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.970 | conf=0.700 | gap=0.520
[2026-05-11 12:33:48] #0168/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:33:58] #0169/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:34:28] #0170/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=0.334 | conf=0.920 | gap=0.880
[2026-05-11 12:34:54] #0171/04275 | true=Pick(7) | pred=Push-up(9) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 12:35:18] #0172/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:35:51] #0173/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.970 | conf=0.700 | gap=0.520
[2026-05-11 12:36:19] #0174/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 12:36:48] #0175/04275 | true=Pick(7) | pred=Push-up(9) | ✗ | ent=0.683 | conf=0.850 | gap=0.820
[2026-05-11 12:37:17] #0176/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:37:34] #0177/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.838 | conf=0.700 | gap=0.480
[2026-05-11 12:37:58] #0178/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:38:37] #0179/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:39:06] #0180/04275 | true=Pick(7) | pred=Sit-up(10) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:39:06]   [180/4275] acc=114/180=63.3% filtered=173/180
[2026-05-11 12:39:19] #0181/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:39:50] #0182/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:40:20] #0183/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 12:40:51] #0184/04275 | true=Pick(7) | pred=Talk-stand(3) | ✗ | ent=1.317 | conf=0.653 | gap=0.600
[2026-05-11 12:41:14] #0185/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.329 | conf=0.930 | gap=0.900
[2026-05-11 12:41:43] #0186/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 12:42:09] #0187/04275 | true=Pick(7) | pred=Talk-stand(3) | ✗ | ent=0.979 | conf=0.773 | gap=0.722
[2026-05-11 12:42:41] #0188/04275 | true=Pick(7) | pred=Push-up(9) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:43:05] #0189/04275 | true=Pick(7) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:43:32] #0190/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.613 | conf=0.850 | gap=0.790
