[2026-05-11 11:02:56] Class 4 (Stand-sit) 软标签生成开始
[2026-05-11 11:02:56]   QUICK=False LIMIT=50
[2026-05-11 11:02:56]   温度=0.8 (from api_config)
[2026-05-11 11:02:56]   本类: 6862窗口 (仅加载本类, 内存友好)
[2026-05-11 11:02:56]   实际生成: 6862 窗口
[2026-05-11 11:03:27] #0001/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.268 | conf=0.950 | gap=0.938
[2026-05-11 11:11:56] #0018/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.299 | conf=0.650 | gap=0.550
[2026-05-11 11:12:34] #0019/06862 | true=Stand-sit(4) | pred=Pick(7) | ✗ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 11:13:04] #0020/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 11:13:04]   [20/6862] acc=8/20=40.0% filtered=18/20
[2026-05-11 11:13:30] #0021/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:14:04] #0022/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:14:18] #0023/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 11:14:33] #0024/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.434 | conf=0.880 | gap=0.790
[2026-05-11 11:15:11] #0025/06862 | true=Stand-sit(4) | pred=Push-up(9) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:15:25] #0026/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:16:04] #0027/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.530 | conf=0.778 | gap=0.556
[2026-05-11 11:16:30] #0028/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:17:00] #0029/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 11:17:51] #0030/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.351 | conf=0.650 | gap=0.550
[2026-05-11 11:18:20] #0031/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 11:18:55] #0032/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.904 | conf=0.750 | gap=0.670
[2026-05-11 11:19:35] #0033/06862 | true=Stand-sit(4) | pred=Push-up(9) | ✗ | ent=1.583 | conf=0.350 | gap=0.100
[2026-05-11 11:19:49] #0034/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 11:20:24] #0035/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 11:20:34] #0036/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:21:03] #0037/06862 | true=Stand-sit(4) | pred=Pick(7) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 11:21:31] #0038/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 11:21:46] #0039/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:22:02] #0040/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:22:02]   [40/6862] acc=21/40=52.5% filtered=37/40
[2026-05-11 11:22:31] #0041/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 11:23:07] #0042/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 11:23:21] #0043/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.627 | conf=0.850 | gap=0.800
[2026-05-11 11:23:57] #0044/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:24:10] #0045/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.010 | conf=0.632 | gap=0.421
[2026-05-11 11:24:49] #0046/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:25:20] #0047/06862 | true=Stand-sit(4) | pred=Push-up(9) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 11:25:37] #0048/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 11:26:36] #0049/06862 | true=Stand-sit(4) | pred=Push-up(9) | ✗ | ent=1.209 | conf=0.450 | gap=0.050
[2026-05-11 11:26:53] #0050/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.624 | conf=0.820 | gap=0.700
[2026-05-11 11:27:25] #0051/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.996 | conf=0.550 | gap=0.200
[2026-05-11 11:27:56] #0052/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:28:39] #0053/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:29:04] #0054/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.524 | conf=0.880 | gap=0.830
[2026-05-11 11:29:36] #0055/06862 | true=Stand-sit(4) | pred=Pick(7) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 11:30:04] #0056/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:31:07] #0057/06862 | true=Stand-sit(4) | pred=Push-up(9) | ✗ | ent=1.565 | conf=0.450 | gap=0.250
[2026-05-11 11:31:42] #0058/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.258 | conf=0.950 | gap=0.930
[2026-05-11 11:31:53] #0059/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:32:19] #0060/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=1.608 | conf=0.550 | gap=0.450
[2026-05-11 11:32:19]   [60/6862] acc=30/60=50.0% filtered=54/60
[2026-05-11 11:32:49] #0061/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:33:15] #0062/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:34:23] #0063/06862 | true=Stand-sit(4) | pred=Push-up(9) | ✗ | ent=1.224 | conf=0.650 | gap=0.550
[2026-05-11 11:35:16] #0064/06862 | true=Stand-sit(4) | pred=Walk-backwards(12) | ✗ | ent=1.653 | conf=0.400 | gap=0.200
[2026-05-11 11:35:47] #0065/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:36:28] #0066/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=1.207 | conf=0.700 | gap=0.650
[2026-05-11 11:36:47] #0067/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.648 | conf=0.820 | gap=0.720
[2026-05-11 11:37:20] #0068/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:37:59] #0069/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=1.139 | conf=0.550 | gap=0.250
[2026-05-11 11:38:12] #0070/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.729 | conf=0.780 | gap=0.660
[2026-05-11 11:38:39] #0071/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:39:09] #0072/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.645 | conf=0.842 | gap=0.789
[2026-05-11 11:39:40] #0073/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=2.136 | conf=0.300 | gap=0.100
[2026-05-11 11:40:33] #0074/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:40:44] #0075/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:41:19] #0076/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:41:47] #0077/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:42:12] #0078/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:42:25] #0079/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 11:42:57] #0080/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:42:57]   [80/6862] acc=36/80=45.0% filtered=72/80
[2026-05-11 11:43:27] #0081/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:43:43] #0082/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.296 | conf=0.930 | gap=0.880
[2026-05-11 11:43:50] #0083/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:44:02] #0084/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:44:20] #0085/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.347 | conf=0.591 | gap=0.430
[2026-05-11 11:44:49] #0086/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 11:45:13] #0087/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:45:39] #0088/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.426 | conf=0.889 | gap=0.833
[2026-05-11 11:46:03] #0089/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.526 | conf=0.870 | gap=0.820
[2026-05-11 11:46:31] #0090/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.613 | conf=0.850 | gap=0.790
[2026-05-11 11:47:03] #0091/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.362 | conf=0.882 | gap=0.765
[2026-05-11 11:47:33] #0092/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:48:09] #0093/06862 | true=Stand-sit(4) | pred=Push-up(9) | ✗ | ent=1.228 | conf=0.600 | gap=0.500
[2026-05-11 11:48:38] #0094/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-11 11:49:01] #0095/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 11:49:51] #0096/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.453 | conf=0.900 | gap=0.860
[2026-05-11 11:50:05] #0097/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:50:19] #0098/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.317 | conf=0.700 | gap=0.650
[2026-05-11 11:50:47] #0099/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 11:51:17] #0100/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=1.602 | conf=0.550 | gap=0.430
[2026-05-11 11:51:17]   [100/6862] acc=46/100=46.0% filtered=91/100
[2026-05-11 11:51:28] #0101/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 11:51:42] #0102/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:51:55] #0103/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:52:28] #0104/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:52:54] #0105/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:53:46] #0106/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.636 | conf=0.842 | gap=0.768
[2026-05-11 11:55:20] #0107/06862 | true=Stand-sit(4) | pred=Push-up(9) | ✗ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-11 11:56:21] #0108/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.121 | conf=0.650 | gap=0.550
[2026-05-11 11:56:50] #0109/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:57:26] #0110/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 11:57:52] #0111/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:58:30] #0112/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:59:07] #0113/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.761 | conf=0.778 | gap=0.667
[2026-05-11 11:59:19] #0114/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:59:44] #0115/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.410 | conf=0.918 | gap=0.898
[2026-05-11 12:00:01] #0116/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:00:34] #0117/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.826 | conf=0.737 | gap=0.579
[2026-05-11 12:01:02] #0118/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:01:18] #0119/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.362 | conf=0.920 | gap=0.880
[2026-05-11 12:01:49] #0120/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:01:49]   [120/6862] acc=53/120=44.2% filtered=111/120
[2026-05-11 12:02:02] #0121/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.296 | conf=0.930 | gap=0.880
[2026-05-11 12:02:57] #0122/06862 | true=Stand-sit(4) | pred=Push-up(9) | ✗ | ent=1.232 | conf=0.650 | gap=0.550
[2026-05-11 12:03:24] #0123/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:03:49] #0124/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:04:21] #0125/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:04:54] #0126/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 12:05:05] #0127/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 12:05:17] #0128/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:05:37] #0129/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:05:49] #0130/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.758 | conf=0.800 | gap=0.720
[2026-05-11 12:05:59] #0131/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 12:06:33] #0132/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 12:07:36] #0133/06862 | true=Stand-sit(4) | pred=Stair-down(16) | ✗ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 12:08:18] #0134/06862 | true=Stand-sit(4) | pred=Push-up(9) | ✗ | ent=1.329 | conf=0.650 | gap=0.600
[2026-05-11 12:08:45] #0135/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.524 | conf=0.880 | gap=0.830
[2026-05-11 12:08:55] #0136/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.376 | conf=0.920 | gap=0.880
[2026-05-11 12:09:32] #0137/06862 | true=Stand-sit(4) | pred=Stand(0) | ✗ | ent=1.611 | conf=0.278 | gap=0.000
[2026-05-11 12:10:03] #0138/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:10:18] #0139/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:10:53] #0140/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 12:10:53]   [140/6862] acc=65/140=46.4% filtered=130/140
[2026-05-11 12:11:23] #0141/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=1.034 | conf=0.761 | gap=0.707
[2026-05-11 12:11:55] #0142/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:12:23] #0143/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:12:38] #0144/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:12:49] #0145/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 12:13:18] #0146/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:13:46] #0147/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=1.675 | conf=0.500 | gap=0.389
[2026-05-11 12:13:54] #0148/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:14:22] #0149/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 12:14:59] #0150/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 12:15:13] #0151/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.912 | conf=0.720 | gap=0.540
[2026-05-11 12:15:56] #0152/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.402 | conf=0.650 | gap=0.570
[2026-05-11 12:16:23] #0153/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.927 | conf=0.737 | gap=0.632
[2026-05-11 12:16:48] #0154/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=1.881 | conf=0.500 | gap=0.400
[2026-05-11 12:17:02] #0155/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:17:26] #0156/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 12:17:56] #0157/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:18:08] #0158/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:18:39] #0159/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=1.258 | conf=0.450 | gap=0.200
[2026-05-11 12:18:51] #0160/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:18:51]   [160/6862] acc=77/160=48.1% filtered=147/160
[2026-05-11 12:19:04] #0161/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:19:12] #0162/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:19:41] #0163/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-11 12:20:09] #0164/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:20:33] #0165/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-11 12:20:59] #0166/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:21:27] #0167/06862 | true=Stand-sit(4) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:21:56] #0168/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:22:39] #0169/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:23:17] #0170/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.390 | conf=0.920 | gap=0.900
[2026-05-11 12:23:49] #0171/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.463 | conf=0.889 | gap=0.833
[2026-05-11 12:24:12] #0172/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:24:41] #0173/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 12:25:13] #0174/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:25:37] #0175/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.225 | conf=0.960 | gap=0.949
[2026-05-11 12:26:04] #0176/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:26:16] #0177/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
