[2026-05-11 11:03:28] #0001/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.693 | conf=0.850 | gap=0.800
[2026-05-11 12:05:43] #0140/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:07:15] #0144/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.559 | conf=0.526 | gap=0.368
[2026-05-11 12:08:01] #0146/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:08:55] #0148/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.042 | conf=0.750 | gap=0.698
[2026-05-11 12:09:26] #0149/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:09:39] #0150/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.458 | conf=0.900 | gap=0.860
[2026-05-11 12:12:58] #0157/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.060 | conf=0.700 | gap=0.600
[2026-05-11 12:13:49] #0159/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.104 | conf=0.550 | gap=0.250
[2026-05-11 12:14:46] #0161/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.498 | conf=0.850 | gap=0.730
[2026-05-11 12:15:28] #0163/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:17:55] #0168/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:18:39] #0170/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:19:08] #0171/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.982 | conf=0.650 | gap=0.450
[2026-05-11 12:19:21] #0172/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.602 | conf=0.850 | gap=0.770
[2026-05-11 12:19:35] #0173/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.931 | conf=0.800 | gap=0.750
[2026-05-11 12:19:46] #0174/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:20:01] #0175/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:21:59] #0180/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:22:44] #0182/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.538 | conf=0.550 | gap=0.450
[2026-05-11 12:22:57] #0183/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 12:23:13] #0184/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.860 | conf=0.368 | gap=0.211
[2026-05-11 12:23:28] #0185/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.581 | conf=0.863 | gap=0.811
[2026-05-11 12:23:53] #0186/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:25:46] #0189/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.121 | conf=0.650 | gap=0.550
[2026-05-11 12:26:12] #0190/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.010 | conf=0.780 | gap=0.730
[2026-05-11 12:26:26] #0191/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.902 | conf=0.450 | gap=0.350
[2026-05-11 12:26:39] #0192/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.672 | conf=0.450 | gap=0.200
[2026-05-11 12:27:10] #0193/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.287 | conf=0.604 | gap=0.375
[2026-05-11 12:27:37] #0194/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:27:51] #0195/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.282 | conf=0.647 | gap=0.588
[2026-05-11 12:28:39] #0197/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.474 | conf=0.818 | gap=0.636
[2026-05-11 12:28:51] #0198/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.458 | conf=0.900 | gap=0.860
[2026-05-11 12:29:05] #0199/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:30:41] #0202/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 12:31:19] #0204/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:32:20] #0207/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 12:33:27] #0210/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:35:32] #0213/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.556 | conf=0.579 | gap=0.526
[2026-05-11 12:35:46] #0214/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.382 | conf=0.872 | gap=0.745
[2026-05-11 12:36:32] #0216/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.602 | conf=0.850 | gap=0.770
[2026-05-11 12:37:42] #0219/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.373 | conf=0.550 | gap=0.400
[2026-05-11 12:39:21] #0223/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.260 | conf=0.684 | gap=0.632
[2026-05-11 12:40:05] #0225/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.497 | conf=0.620 | gap=0.540
[2026-05-11 12:41:11] #0228/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.717 | conf=0.820 | gap=0.770
[2026-05-11 12:41:57] #0230/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.121 | conf=0.650 | gap=0.550
[2026-05-11 12:42:20] #0231/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:42:35] #0232/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.229 | conf=0.700 | gap=0.620
[2026-05-11 12:42:51] #0233/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.766 | conf=0.842 | gap=0.822
[2026-05-11 12:43:03] #0234/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:43:16] #0235/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:43:33] #0236/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.205 | conf=0.550 | gap=0.300
[2026-05-11 12:44:10] #0238/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:44:26] #0239/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:44:41] #0240/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.464 | conf=0.900 | gap=0.875
[2026-05-11 12:45:15] #0241/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=2.067 | conf=0.350 | gap=0.200
[2026-05-11 12:46:03] #0243/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.281 | conf=0.727 | gap=0.677
[2026-05-11 12:46:18] #0244/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:46:54] #0245/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:47:05] #0246/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:48:00] #0248/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:48:48] #0250/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.334 | conf=0.700 | gap=0.650
[2026-05-11 12:49:16] #0251/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 12:50:46] #0254/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.132 | conf=0.700 | gap=0.600
[2026-05-11 12:52:53] #0258/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:53:34] #0260/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:55:48] #0265/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.202 | conf=0.720 | gap=0.670
[2026-05-11 12:57:03] #0268/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.244 | conf=0.720 | gap=0.670
[2026-05-11 13:01:09] #0275/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.524 | conf=0.880 | gap=0.830
[2026-05-11 13:01:34] #0276/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 13:01:49] #0277/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 13:02:02] #0278/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:03:08] #0281/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.473 | conf=0.650 | gap=0.600
[2026-05-11 13:04:17] #0284/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:04:28] #0285/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:04:44] #0286/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.314 | conf=0.667 | gap=0.613
[2026-05-11 13:05:31] #0288/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:06:40] #0291/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:07:18] #0293/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 13:10:16] #0299/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:11:10] #0301/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:12:40] #0304/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.224 | conf=0.950 | gap=0.910
[2026-05-11 13:17:10] #0313/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.230 | conf=0.700 | gap=0.650
[2026-05-11 13:17:49] #0315/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.216 | conf=0.720 | gap=0.670
[2026-05-11 13:18:04] #0316/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=2.059 | conf=0.420 | gap=0.320
[2026-05-11 13:19:11] #0319/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.362 | conf=0.650 | gap=0.600
[2026-05-11 13:19:32] #0320/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.740 | conf=0.750 | gap=0.550
[2026-05-11 13:19:49] #0321/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 13:20:01] #0322/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.194 | conf=0.720 | gap=0.670
[2026-05-11 13:20:44] #0323/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 13:22:17] #0327/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:22:54] #0329/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.156 | conf=0.969 | gap=0.949
[2026-05-11 13:23:06] #0330/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.435 | conf=0.600 | gap=0.500
[2026-05-11 13:23:21] #0331/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.150 | conf=0.722 | gap=0.667
[2026-05-11 13:23:31] #0332/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:24:06] #0333/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.586 | conf=0.820 | gap=0.700
[2026-05-11 13:24:21] #0334/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.608 | conf=0.600 | gap=0.500
[2026-05-11 13:24:35] #0335/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:25:34] #0338/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.623 | conf=0.850 | gap=0.790
[2026-05-11 13:25:48] #0339/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:26:02] #0340/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:26:19] #0341/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.373 | conf=0.550 | gap=0.400
[2026-05-11 13:27:03] #0343/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:27:17] #0344/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.249 | conf=0.700 | gap=0.650
[2026-05-11 13:27:29] #0345/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.209 | conf=0.699 | gap=0.645
[2026-05-11 13:29:10] #0347/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.216 | conf=0.700 | gap=0.650
[2026-05-11 13:29:25] #0348/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:30:04] #0350/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:32:12] #0354/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.445 | conf=0.895 | gap=0.842
[2026-05-11 13:32:45] #0355/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
