[2026-05-11 11:03:49] #0001/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:17:21] #0042/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:18:04] #0044/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:18:17] #0045/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:18:29] #0046/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:19:45] #0049/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:20:50] #0052/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:21:32] #0054/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:21:50] #0055/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:21:57] #0056/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:22:08] #0057/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:22:18] #0058/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:22:33] #0059/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:22:50] #0060/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:23:00] #0061/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:25:06] #0065/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:25:51] #0067/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:26:43] #0069/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:27:34] #0071/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:28:14] #0073/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:28:47] #0074/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:29:40] #0075/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:30:47] #0078/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:31:32] #0080/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:31:45] #0081/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:32:03] #0082/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:32:16] #0083/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:32:33] #0084/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:33:13] #0085/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:33:22] #0086/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:33:35] #0087/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:34:59] #0090/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:35:10] #0091/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.056 | conf=0.990 | gap=0.980
[2026-05-11 11:35:24] #0092/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:35:42] #0093/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:36:15] #0094/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:36:28] #0095/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.367 | conf=0.880 | gap=0.760
[2026-05-11 11:36:42] #0096/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:36:54] #0097/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:37:13] #0098/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:37:25] #0099/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:37:38] #0100/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:37:48] #0101/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:38:57] #0104/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.527 | conf=0.780 | gap=0.560
[2026-05-11 11:39:31] #0105/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.367 | conf=0.880 | gap=0.760
[2026-05-11 11:39:44] #0106/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:39:57] #0107/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:40:08] #0108/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:40:22] #0109/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.471 | conf=0.820 | gap=0.640
[2026-05-11 11:40:47] #0110/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:40:58] #0111/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:41:24] #0112/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:41:53] #0113/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:42:08] #0114/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:42:48] #0115/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:43:22] #0117/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.254 | conf=0.930 | gap=0.860
[2026-05-11 11:43:37] #0118/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:44:19] #0120/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:45:31] #0123/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:45:42] #0124/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:46:16] #0125/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:46:28] #0126/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.367 | conf=0.880 | gap=0.760
[2026-05-11 11:46:45] #0127/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:46:57] #0128/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:47:47] #0130/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:47:56] #0131/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:48:15] #0132/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:48:27] #0133/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:48:59] #0134/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.647 | conf=0.650 | gap=0.300
[2026-05-11 11:49:12] #0135/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:49:28] #0136/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.367 | conf=0.880 | gap=0.760
[2026-05-11 11:49:37] #0137/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:49:59] #0138/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:50:59] #0140/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.471 | conf=0.820 | gap=0.640
[2026-05-11 11:51:08] #0141/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:51:16] #0142/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:51:28] #0143/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:51:39] #0144/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:53:02] #0147/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 11:53:14] #0148/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:53:21] #0149/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:53:33] #0150/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:53:48] #0151/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:54:09] #0152/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:54:34] #0153/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:54:47] #0154/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:55:26] #0156/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:55:44] #0157/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:55:53] #0158/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:56:04] #0159/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:57:07] #0162/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:57:52] #0164/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:58:10] #0165/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:58:24] #0166/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:58:35] #0167/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:58:49] #0168/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.562 | conf=0.750 | gap=0.500
[2026-05-11 11:59:02] #0169/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:59:17] #0170/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:59:42] #0171/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.056 | conf=0.990 | gap=0.980
[2026-05-11 12:00:14] #0172/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:00:51] #0174/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:01:24] #0175/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:01:56] #0176/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 12:02:12] #0177/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:02:26] #0178/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:02:39] #0179/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:02:50] #0180/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:03:02] #0181/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:03:15] #0182/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.594 | conf=0.780 | gap=0.580
[2026-05-11 12:03:27] #0183/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:03:51] #0184/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:04:03] #0185/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:04:16] #0186/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:04:28] #0187/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:04:36] #0188/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:05:42] #0191/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:06:18] #0193/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:06:27] #0194/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:06:35] #0195/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:06:44] #0196/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:06:53] #0197/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:07:31] #0199/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:07:56] #0200/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:08:04] #0201/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:08:18] #0202/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:08:28] #0203/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:08:38] #0204/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:09:35] #0206/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:09:47] #0207/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:09:58] #0208/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:10:08] #0209/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:10:16] #0210/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:11:01] #0212/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:11:13] #0213/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:11:23] #0214/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:11:36] #0215/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.367 | conf=0.880 | gap=0.760
[2026-05-11 12:11:43] #0216/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:12:07] #0217/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:12:36] #0218/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:13:05] #0219/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:13:30] #0220/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:13:40] #0221/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:13:48] #0222/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:14:30] #0224/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:14:38] #0225/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:15:18] #0227/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:16:02] #0229/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:16:24] #0230/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:16:56] #0232/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:17:07] #0233/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:17:20] #0234/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:17:45] #0235/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:18:24] #0237/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:18:36] #0238/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:18:43] #0239/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:19:11] #0240/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:20:30] #0242/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:20:42] #0243/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:20:52] #0244/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:21:05] #0245/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:22:02] #0247/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:22:23] #0248/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:22:32] #0249/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:22:48] #0250/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:22:56] #0251/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:23:36] #0253/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:23:48] #0254/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.367 | conf=0.880 | gap=0.760
