[2026-05-11 21:51:42] #0001/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 22:14:40] #0090/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:15:04] #0091/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:15:36] #0092/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.132 conf=0.700 gap=0.600
[2026-05-11 22:15:55] #0093/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 22:16:53] #0094/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.596 conf=0.350 gap=0.050
[2026-05-11 22:16:56] #0095/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:17:00] #0096/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.332 conf=0.400 gap=0.000
[2026-05-11 22:17:10] #0097/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.052 conf=0.500 gap=0.080
[2026-05-11 22:17:13] #0098/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:17:42] #0099/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.376 conf=0.450 gap=0.100
[2026-05-11 22:17:52] #0100/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.536 conf=0.350 gap=0.000
[2026-05-11 22:18:16] #0102/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:19:02] #0104/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 22:19:35] #0106/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.037 conf=0.700 gap=0.550
[2026-05-11 22:20:20] #0109/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:20:24] #0110/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-11 22:20:27] #0111/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:20:31] #0112/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:21:04] #0114/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:21:08] #0115/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:21:15] #0116/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.938 conf=0.700 gap=0.500
[2026-05-11 22:21:27] #0117/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.013 conf=0.750 gap=0.670
[2026-05-11 22:21:59] #0120/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.473 conf=0.450 gap=0.200
[2026-05-11 22:22:02] #0121/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-11 22:22:05] #0122/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:22:07] #0123/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 22:22:16] #0124/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 22:22:22] #0125/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.237 conf=0.650 gap=0.550
[2026-05-11 22:22:30] #0126/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 22:23:10] #0127/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.615 conf=0.816 gap=0.663
[2026-05-11 22:23:59] #0129/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.101 conf=0.550 gap=0.200
[2026-05-11 22:24:08] #0130/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.212 conf=0.550 gap=0.250
[2026-05-11 22:24:24] #0131/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.745 conf=0.820 gap=0.740
[2026-05-11 22:24:48] #0132/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.775 conf=0.800 gap=0.700
[2026-05-11 22:24:53] #0133/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 22:25:21] #0135/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.209 conf=0.450 gap=0.050
[2026-05-11 22:25:24] #0136/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:25:29] #0137/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.591 conf=0.400 gap=0.100
[2026-05-11 22:26:32] #0139/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:27:46] #0143/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.075 conf=0.700 gap=0.550
[2026-05-11 22:28:16] #0145/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-11 22:28:58] #0146/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:29:13] #0147/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:29:48] #0149/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:30:07] #0151/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.974 conf=0.650 gap=0.400
[2026-05-11 22:30:16] #0152/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.943 conf=0.500 gap=0.100
[2026-05-11 22:30:34] #0153/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:30:38] #0154/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.653 conf=0.300 gap=0.050
[2026-05-11 22:31:30] #0158/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:31:53] #0160/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:32:02] #0161/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.396 conf=0.400 gap=0.000
[2026-05-11 22:32:12] #0162/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.113 conf=0.520 gap=0.140
[2026-05-11 22:32:23] #0163/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-11 22:32:44] #0164/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.768 conf=0.750 gap=0.550
[2026-05-11 22:32:52] #0165/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:33:06] #0166/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 22:33:27] #0167/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 22:33:42] #0168/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-11 22:34:04] #0169/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:34:20] #0170/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.839 conf=0.720 gap=0.500
[2026-05-11 22:35:01] #0172/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-11 22:35:49] #0174/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.216 conf=0.650 gap=0.500
[2026-05-11 22:35:55] #0175/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 22:35:58] #0176/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.410 conf=0.400 gap=0.050
[2026-05-11 22:36:03] #0177/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-11 22:36:23] #0178/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.299 conf=0.420 gap=0.020
[2026-05-11 22:36:28] #0179/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 22:37:33] #0182/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 22:37:59] #0183/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.371 conf=0.450 gap=0.200
[2026-05-11 22:38:05] #0184/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:38:30] #0186/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:38:40] #0187/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:38:43] #0188/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.912 conf=0.550 gap=0.150
[2026-05-11 22:38:47] #0189/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.165 conf=0.550 gap=0.250
[2026-05-11 22:39:05] #0191/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:39:14] #0192/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:39:34] #0194/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-11 22:39:53] #0196/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.054 conf=0.450 gap=0.000
[2026-05-11 22:40:34] #0198/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 22:40:47] #0199/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.836 conf=0.800 gap=0.730
[2026-05-11 22:41:07] #0201/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:41:34] #0203/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-11 22:41:37] #0204/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-11 22:41:42] #0205/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:42:04] #0206/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:43:03] #0208/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.855 conf=0.800 gap=0.750
[2026-05-11 22:43:39] #0210/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.187 conf=0.410 gap=0.010
[2026-05-11 22:44:38] #0211/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.457 conf=0.420 gap=0.120
[2026-05-11 22:45:15] #0213/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:45:25] #0214/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.566 conf=0.300 gap=0.000
[2026-05-11 22:45:45] #0215/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.455 conf=0.500 gap=0.300
[2026-05-11 22:46:11] #0217/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 22:46:24] #0219/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:46:50] #0220/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:47:00] #0221/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.987 conf=0.750 gap=0.650
[2026-05-11 22:47:58] #0223/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.209 conf=0.450 gap=0.050
[2026-05-11 22:48:05] #0224/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.333 conf=0.500 gap=0.300
[2026-05-11 22:48:35] #0225/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-11 22:49:07] #0227/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.400 conf=0.450 gap=0.150
[2026-05-11 22:50:00] #0229/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.101 conf=0.550 gap=0.200
[2026-05-11 22:50:12] #0231/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:50:22] #0232/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.399 conf=0.350 gap=0.000
[2026-05-11 22:50:41] #0233/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:50:45] #0234/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:50:49] #0235/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.326 conf=0.450 gap=0.100
[2026-05-11 22:51:01] #0236/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.372 conf=0.550 gap=0.330
[2026-05-11 22:51:13] #0237/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.163 conf=0.500 gap=0.150
[2026-05-11 22:51:57] #0240/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-11 22:51:59] #0241/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.979 conf=0.650 gap=0.400
[2026-05-11 22:52:27] #0242/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:52:38] #0243/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.234 conf=0.450 gap=0.050
[2026-05-11 22:52:41] #0244/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.096 conf=0.350 gap=0.000
[2026-05-11 22:52:52] #0245/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.026 conf=0.650 gap=0.400
[2026-05-11 22:53:14] #0246/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.070 conf=0.700 gap=0.550
[2026-05-11 22:53:20] #0247/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-11 22:53:35] #0248/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.146 conf=0.700 gap=0.600
[2026-05-11 22:53:48] #0249/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 22:54:45] #0251/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.148 conf=0.700 gap=0.650
[2026-05-11 22:54:54] #0252/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:55:00] #0253/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.668 conf=0.850 gap=0.800
[2026-05-11 22:55:25] #0254/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.754 conf=0.750 gap=0.550
[2026-05-11 22:55:40] #0255/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:55:57] #0256/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:56:04] #0257/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.332 conf=0.400 gap=0.000
[2026-05-11 22:56:15] #0258/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.469 conf=0.350 gap=0.000
[2026-05-11 22:57:35] #0261/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.050 conf=0.700 gap=0.550
[2026-05-11 22:57:38] #0262/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:58:03] #0263/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 22:58:28] #0264/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.332 conf=0.920 gap=0.870
[2026-05-11 22:58:41] #0266/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:58:58] #0267/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.045 conf=0.720 gap=0.600
[2026-05-11 22:59:19] #0268/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:59:31] #0269/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-11 22:59:53] #0271/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.070 conf=0.550 gap=0.250
[2026-05-11 23:00:25] #0273/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.263 conf=0.400 gap=0.000
[2026-05-11 23:00:45] #0274/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:00:52] #0275/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:01:25] #0276/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 23:01:44] #0277/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.841 conf=0.800 gap=0.730
[2026-05-11 23:02:02] #0278/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.924 conf=0.700 gap=0.500
[2026-05-11 23:02:12] #0279/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:02:31] #0280/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.092 conf=0.700 gap=0.580
[2026-05-11 23:03:00] #0282/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.153 conf=0.450 gap=0.050
[2026-05-11 23:03:03] #0283/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.400 conf=0.450 gap=0.150
[2026-05-11 23:03:18] #0284/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.216 conf=0.500 gap=0.150
[2026-05-11 23:03:50] #0286/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:04:00] #0287/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-11 23:04:47] #0289/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.075 conf=0.700 gap=0.550
[2026-05-11 23:04:50] #0290/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.543 conf=0.450 gap=0.250
[2026-05-11 23:04:57] #0291/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.943 conf=0.500 gap=0.100
[2026-05-11 23:05:00] #0292/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:05:05] #0293/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.688 conf=0.550 gap=0.100
