[2026-05-11 21:52:10] #0001/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.108 conf=0.680 gap=0.530
[2026-05-11 23:37:38] #0311/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.170 conf=0.650 gap=0.470
[2026-05-11 23:39:54] #0314/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.431 conf=0.420 gap=0.070
[2026-05-11 23:42:37] #0322/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:42:48] #0323/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.623 conf=0.400 gap=0.150
[2026-05-11 23:43:56] #0326/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.106 conf=0.450 gap=0.050
[2026-05-11 23:45:18] #0328/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.231 conf=0.650 gap=0.500
[2026-05-11 23:48:37] #0332/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:51:58] #0339/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.947 conf=0.750 gap=0.630
[2026-05-11 23:52:32] #0340/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:53:54] #0343/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.751 conf=0.300 gap=0.050
[2026-05-11 23:55:25] #0346/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.032 conf=0.650 gap=0.400
[2026-05-11 23:55:41] #0347/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.062 conf=0.650 gap=0.450
[2026-05-11 23:56:55] #0349/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.138 conf=0.700 gap=0.600
[2026-05-11 23:57:03] #0350/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:57:43] #0353/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:00:00] #0357/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.211 conf=0.444 gap=0.167
[2026-05-12 00:01:46] #0361/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.197 conf=0.650 gap=0.500
[2026-05-12 00:04:30] #0367/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 00:05:26] #0368/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.050 conf=0.700 gap=0.550
[2026-05-12 00:09:25] #0376/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.061 conf=0.700 gap=0.550
[2026-05-12 00:12:36] #0384/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 00:13:13] #0386/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.787 conf=0.667 gap=0.389
[2026-05-12 00:13:27] #0387/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:14:18] #0391/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 00:15:17] #0393/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:16:47] #0398/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 00:19:16] #0404/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.732 conf=0.250 gap=0.000
[2026-05-12 00:19:35] #0406/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.506 conf=0.400 gap=0.050
[2026-05-12 00:22:21] #0414/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:22:53] #0415/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:27:44] #0426/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 00:29:50] #0431/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:30:02] #0432/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.232 conf=0.550 gap=0.250
[2026-05-12 00:33:22] #0441/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.065 conf=0.700 gap=0.550
[2026-05-12 00:36:05] #0447/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.571 conf=0.400 gap=0.100
[2026-05-12 00:36:17] #0448/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.297 conf=0.550 gap=0.300
[2026-05-12 00:37:28] #0454/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:38:53] #0458/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:41:56] #0463/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.482 conf=0.850 gap=0.720
[2026-05-12 00:46:01] #0471/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.173 conf=0.480 gap=0.080
[2026-05-12 00:47:46] #0476/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.342 conf=0.550 gap=0.300
[2026-05-12 00:48:34] #0479/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.231 conf=0.650 gap=0.500
[2026-05-12 00:49:44] #0481/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.398 conf=0.420 gap=0.040
[2026-05-12 00:50:31] #0483/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.183 conf=0.700 gap=0.650
[2026-05-12 00:50:39] #0484/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.456 conf=0.500 gap=0.250
[2026-05-12 00:51:07] #0485/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 00:53:48] #0495/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:54:57] #0499/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.898 conf=0.550 gap=0.150
[2026-05-12 00:56:04] #0503/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:56:24] #0505/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:57:32] #0509/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.284 conf=0.650 gap=0.550
[2026-05-12 00:58:01] #0510/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.393 conf=0.450 gap=0.100
[2026-05-12 01:03:21] #0522/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:05:40] #0527/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.007 conf=0.650 gap=0.400
[2026-05-12 01:09:21] #0536/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.231 conf=0.650 gap=0.500
[2026-05-12 01:11:28] #0537/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 01:12:14] #0539/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-12 01:13:17] #0540/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.591 conf=0.400 gap=0.100
[2026-05-12 01:15:07] #0543/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.235 conf=0.550 gap=0.350
[2026-05-12 01:17:07] #0545/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 01:17:19] #0546/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.395 conf=0.420 gap=0.040
[2026-05-12 01:17:28] #0547/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 01:19:29] #0555/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 01:22:22] #0563/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:24:02] #0571/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.693 conf=0.800 gap=0.650
[2026-05-12 01:26:20] #0575/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 01:26:47] #0576/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.848 conf=0.780 gap=0.660
[2026-05-12 01:34:08] #0592/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.267 conf=0.450 gap=0.050
[2026-05-12 01:36:03] #0597/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.072 conf=0.700 gap=0.580
[2026-05-12 01:37:44] #0600/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 01:38:33] #0601/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 01:39:41] #0604/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.002 conf=0.600 gap=0.300
[2026-05-12 01:43:51] #0615/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:46:40] #0620/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 01:48:43] #0627/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:51:38] #0633/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 01:53:33] #0637/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.175 conf=0.450 gap=0.050
[2026-05-12 02:04:38] #0657/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 02:05:38] #0660/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:07:35] #0665/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 02:07:56] #0666/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.050 conf=0.636 gap=0.384
[2026-05-12 02:09:14] #0672/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.857 conf=0.526 gap=0.105
[2026-05-12 02:10:30] #0675/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:13:40] #0683/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.013 conf=0.500 gap=0.100
[2026-05-12 02:13:56] #0684/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 02:15:26] #0689/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:16:17] #0691/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:19:09] #0698/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 02:20:37] #0700/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.774 conf=0.800 gap=0.680
[2026-05-12 02:25:57] #0710/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.050 conf=0.700 gap=0.550
[2026-05-12 02:26:08] #0711/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.250 conf=0.470 gap=0.090
[2026-05-12 02:26:52] #0714/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.305 conf=0.450 gap=0.150
[2026-05-12 02:28:22] #0718/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:28:42] #0720/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:30:00] #0724/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.228 conf=0.650 gap=0.500
[2026-05-12 02:31:05] #0727/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 02:32:31] #0732/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.127 conf=0.700 gap=0.600
[2026-05-12 02:34:14] #0735/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.245 conf=0.650 gap=0.530
